dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
group_snapshot,location_id,1,BM,909,62,971,0.06385169927909372,0.2630723381197507,False
group_snapshot,location_id,1,BS,103,13,116,0.11206896551724138,0.03142779734489298,False
group_snapshot,location_id,1,FG,1480,181,1661,0.10897049969897651,0.4500135464643728,False
group_snapshot,location_id,1,ITC,127,15,142,0.1056338028169014,0.038471958818748306,False
group_snapshot,location_id,1,JG,169,3,172,0.01744186046511628,0.04659983744242752,False
group_snapshot,location_id,1,KB,587,42,629,0.06677265500794913,0.17041452180980765,False
group_snapshot,location_id,2,BM,853,118,971,0.121524201853759,0.2630723381197507,False
group_snapshot,location_id,2,BS,94,22,116,0.1896551724137931,0.03142779734489298,False
group_snapshot,location_id,2,FG,1347,314,1661,0.18904274533413606,0.4500135464643728,False
group_snapshot,location_id,2,ITC,114,28,142,0.19718309859154928,0.038471958818748306,False
group_snapshot,location_id,2,JG,167,5,172,0.029069767441860465,0.04659983744242752,False
group_snapshot,location_id,2,KB,503,126,629,0.20031796502384738,0.17041452180980765,False
group_snapshot,location_id,3,BM,826,145,971,0.14933058702368693,0.2630723381197507,False
group_snapshot,location_id,3,BS,87,29,116,0.25,0.03142779734489298,False
group_snapshot,location_id,3,FG,1283,378,1661,0.2275737507525587,0.4500135464643728,False
group_snapshot,location_id,3,ITC,100,42,142,0.29577464788732394,0.038471958818748306,False
group_snapshot,location_id,3,JG,165,7,172,0.040697674418604654,0.04659983744242752,False
group_snapshot,location_id,3,KB,460,169,629,0.2686804451510334,0.17041452180980765,False
group_snapshot,traffic_period,1,off_peak,568,23,591,0.038917089678511,0.16011920888648062,False
group_snapshot,traffic_period,1,peak,2807,293,3100,0.09451612903225806,0.8398807911135193,False
group_snapshot,traffic_period,2,off_peak,519,72,591,0.1218274111675127,0.16011920888648062,False
group_snapshot,traffic_period,2,peak,2559,541,3100,0.17451612903225808,0.8398807911135193,False
group_snapshot,traffic_period,3,off_peak,487,104,591,0.17597292724196278,0.16011920888648062,False
group_snapshot,traffic_period,3,peak,2434,666,3100,0.21483870967741936,0.8398807911135193,False
group_snapshot,veh1_present,1,0,140,17,157,0.10828025477707007,0.04253589813058792,False
group_snapshot,veh1_present,1,1,3235,299,3534,0.08460667798528579,0.9574641018694121,False
