dataset,categorical_feature,numeric_feature,correlation_ratio_eta_squared,pairwise_nonmissing_n,review_flag_eta2_ge_0p50,automatic_deletion
group_snapshot,veh2_ttc_infinite,veh2_ttc_capped_sec,0.9788362140061063,3691,True,False
group_snapshot,veh3_ttc_infinite,veh3_ttc_capped_sec,0.9767411179641962,3691,True,False
group_snapshot,veh1_ttc_infinite,veh1_ttc_capped_sec,0.9675516042148771,3691,True,False
group_snapshot,veh3_class,veh3_history_observed_fraction,0.8100639363074454,3691,True,False
group_snapshot,veh3_present,veh3_history_observed_fraction,0.7979581253325743,3691,True,False
group_snapshot,veh2_class,veh2_history_observed_fraction,0.6950861183155796,3691,True,False
group_snapshot,veh2_present,veh2_history_observed_fraction,0.6891461213654075,3691,True,False
group_snapshot,veh3_class,veh2_history_observed_fraction,0.5392397259856736,3691,True,False
group_snapshot,veh3_present,veh2_history_observed_fraction,0.5352258523796287,3691,True,False
group_snapshot,veh3_ttc_infinite,veh3_closing_speed_mps,0.49280752091440283,3114,False,False
group_snapshot,veh1_ttc_infinite,veh1_history_front_y_change_m,0.48906380066335847,3534,False,False
group_snapshot,veh3_ttc_infinite,veh3_history_front_y_change_m,0.4874401676853172,3114,False,False
group_snapshot,veh2_ttc_infinite,veh2_history_front_y_change_m,0.4844239496413175,3332,False,False
group_snapshot,veh3_ttc_infinite,veh3_speed_mps,0.48336408492488164,3091,False,False
group_snapshot,traffic_period,veh1_history_mean_front_y_m,0.483250952511748,3534,False,False
group_snapshot,veh2_ttc_infinite,veh2_closing_speed_mps,0.4813922515062182,3332,False,False
group_snapshot,veh1_ttc_infinite,veh1_closing_speed_mps,0.4799138818588328,3534,False,False
group_snapshot,veh2_class,veh3_history_observed_fraction,0.4784462028331242,3691,False,False
group_snapshot,veh1_class,veh1_history_observed_fraction,0.47327561188206135,3691,False,False
group_snapshot,veh2_present,veh3_history_observed_fraction,0.46399398679083925,3691,False,False
group_snapshot,veh2_ttc_infinite,veh2_speed_mps,0.45791964068161645,3299,False,False
group_snapshot,veh1_present,veh1_history_observed_fraction,0.45646541896936443,3691,False,False
group_snapshot,veh1_ttc_infinite,veh1_speed_mps,0.4513322741974299,3504,False,False
group_snapshot,traffic_period,veh3_history_mean_front_y_m,0.4347820515715395,3114,False,False
group_snapshot,veh1_ttc_infinite,veh2_ttc_capped_sec,0.4248425158816597,3691,False,False
group_snapshot,traffic_period,veh3_front_y_m,0.4243138314017239,3114,False,False
group_snapshot,veh2_ttc_infinite,veh1_ttc_capped_sec,0.4194224736773689,3691,False,False
group_snapshot,traffic_period,veh2_history_mean_front_y_m,0.4088013980141647,3332,False,False
group_snapshot,traffic_period,veh1_front_y_m,0.40002012025142963,3534,False,False
group_snapshot,location_id,active_vehicle_count,0.3911469993841054,3691,False,False
group_snapshot,veh3_ttc_infinite,veh2_ttc_capped_sec,0.38684917780305844,3691,False,False
group_snapshot,veh2_ttc_infinite,veh3_ttc_capped_sec,0.3752831841329389,3691,False,False
group_snapshot,veh1_ttc_infinite,veh2_history_front_y_change_m,0.3609204147917917,3332,False,False
group_snapshot,veh1_ttc_infinite,veh2_speed_mps,0.3565546447642958,3299,False,False
group_snapshot,veh1_ttc_infinite,veh2_closing_speed_mps,0.3563694485672819,3332,False,False
group_snapshot,veh2_class,veh1_history_observed_fraction,0.35407380064474203,3691,False,False
group_snapshot,traffic_period,veh1_speed_mps,0.35308758924237826,3504,False,False
group_snapshot,veh2_present,veh1_history_observed_fraction,0.34535507057696585,3691,False,False
group_snapshot,veh1_ttc_infinite,stopped_vehicle_count,0.3430807991537494,3691,False,False
group_snapshot,traffic_period,veh1_history_front_y_change_m,0.3419679256591676,3534,False,False
group_snapshot,traffic_period,veh1_closing_speed_mps,0.3379080638112644,3534,False,False
group_snapshot,traffic_period,veh2_front_y_m,0.32664475822000755,3332,False,False
group_snapshot,veh3_class,active_vehicle_count,0.3216445183583243,3691,False,False
group_snapshot,veh2_ttc_infinite,veh3_speed_mps,0.31695862065370584,3091,False,False
group_snapshot,veh3_ttc_infinite,approaching_vehicle_count,0.3168054281957107,3691,False,False
group_snapshot,veh2_ttc_infinite,stopped_vehicle_count,0.31482670542858054,3691,False,False
group_snapshot,veh2_ttc_infinite,veh3_closing_speed_mps,0.31128110055288327,3114,False,False
group_snapshot,traffic_period,veh2_history_front_y_change_m,0.3106380962116886,3332,False,False
group_snapshot,veh1_class,veh2_history_observed_fraction,0.30916010715034375,3691,False,False
group_snapshot,veh2_ttc_infinite,veh3_history_front_y_change_m,0.30731836368091137,3114,False,False
