dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
individual,gender,1,female,4141,225,4366,0.051534585432890516,0.15515832119122924,False
individual,gender,1,male,17062,1261,18323,0.06882060797904273,0.6511603113117026,False
individual,gender,1,unknown,5191,259,5450,0.04752293577981651,0.19368136749706813,False
individual,gender,2,female,3890,476,4366,0.10902427851580394,0.15515832119122924,False
individual,gender,2,male,15564,2759,18323,0.1505757790754789,0.6511603113117026,False
individual,gender,2,unknown,4884,566,5450,0.10385321100917431,0.19368136749706813,False
individual,gender,3,female,3676,690,4366,0.15803939532753092,0.15515832119122924,False
individual,gender,3,male,14641,3682,18323,0.20094962615292256,0.6511603113117026,False
individual,gender,3,unknown,4655,795,5450,0.14587155963302753,0.19368136749706813,False
individual,age_group,1,adult,9454,662,10116,0.06544088572558324,0.35950104836703506,False
individual,age_group,1,old,829,46,875,0.052571428571428575,0.03109563239631828,False
individual,age_group,1,unknown,13017,811,13828,0.05864911773213769,0.4914176054586162,False
individual,age_group,1,young,3094,226,3320,0.06807228915662651,0.1179857137780305,False
individual,age_group,2,adult,8689,1427,10116,0.141063661526295,0.35950104836703506,False
individual,age_group,2,old,776,99,875,0.11314285714285714,0.03109563239631828,False
individual,age_group,2,unknown,12046,1782,13828,0.12886896152733585,0.4914176054586162,False
individual,age_group,2,young,2827,493,3320,0.14849397590361446,0.1179857137780305,False
individual,age_group,3,adult,8152,1964,10116,0.19414788453934362,0.35950104836703506,False
individual,age_group,3,old,732,143,875,0.16342857142857142,0.03109563239631828,False
individual,age_group,3,unknown,11405,2423,13828,0.1752241828174718,0.4914176054586162,False
individual,age_group,3,young,2683,637,3320,0.19186746987951808,0.1179857137780305,False
individual,veh1_present,1,0,1276,71,1347,0.05270972531551596,0.04786950495753225,False
individual,veh1_present,1,1,25118,1674,26792,0.06248133771275007,0.9521304950424677,False
individual,veh1_present,2,0,1186,161,1347,0.11952487008166296,0.04786950495753225,False
individual,veh1_present,2,1,23152,3640,26792,0.13586145117945655,0.9521304950424677,False
individual,veh1_present,3,0,1116,231,1347,0.1714922048997773,0.04786950495753225,False
individual,veh1_present,3,1,21856,4936,26792,0.18423409973126306,0.9521304950424677,False
individual,veh2_present,1,0,2703,183,2886,0.06340956340956341,0.10256228010945663,False
individual,veh2_present,1,1,23691,1562,25253,0.06185403714410169,0.8974377198905433,False
individual,veh2_present,2,0,2481,405,2886,0.14033264033264034,0.10256228010945663,False
individual,veh2_present,2,1,21857,3396,25253,0.13447907179345028,0.8974377198905433,False
individual,veh2_present,3,0,2299,587,2886,0.2033957033957034,0.10256228010945663,False
individual,veh2_present,3,1,20673,4580,25253,0.1813645903457015,0.8974377198905433,False
individual,veh3_present,1,0,4245,260,4505,0.05771365149833518,0.1600980845090444,False
individual,veh3_present,1,1,22149,1485,23634,0.06283320639756283,0.8399019154909556,False
individual,veh3_present,2,0,3888,617,4505,0.13695893451720312,0.1600980845090444,False
individual,veh3_present,2,1,20450,3184,23634,0.13472116442413473,0.8399019154909556,False
individual,veh3_present,3,0,3600,905,4505,0.2008879023307436,0.1600980845090444,False
individual,veh3_present,3,1,19372,4262,23634,0.18033341795718033,0.8399019154909556,False
individual,veh1_ttc_infinite,1,0,11841,724,12565,0.05762037405491444,0.44653328121113045,False
individual,veh1_ttc_infinite,1,1,14553,1021,15574,0.06555798125080262,0.5534667187888695,False
individual,veh1_ttc_infinite,2,0,11019,1546,12565,0.12304019100676482,0.44653328121113045,False
individual,veh1_ttc_infinite,2,1,13319,2255,15574,0.144792603056376,0.5534667187888695,False
individual,veh1_ttc_infinite,3,0,10384,2181,12565,0.17357739753282928,0.44653328121113045,False
individual,veh1_ttc_infinite,3,1,12588,2986,15574,0.1917298060870682,0.5534667187888695,False
individual,veh2_ttc_infinite,1,0,11995,670,12665,0.052901697591788394,0.45008706777070967,False
individual,veh2_ttc_infinite,1,1,14399,1075,15474,0.06947137133255783,0.5499129322292903,False
individual,veh2_ttc_infinite,2,0,11276,1389,12665,0.10967232530596131,0.45008706777070967,False
individual,veh2_ttc_infinite,2,1,13062,2412,15474,0.15587436991081816,0.5499129322292903,False
individual,veh2_ttc_infinite,3,0,10734,1931,12665,0.15246742992499013,0.45008706777070967,False
individual,veh2_ttc_infinite,3,1,12238,3236,15474,0.20912498384386713,0.5499129322292903,False
