dataset,feature_1,feature_2,cramers_v,screening_zone,automatic_deletion,review_note
individual,veh3_present,veh3_class,0.9998045087374801,manual_review_ge_0p80,False,Review structural/deterministic relationship.
individual,veh2_present,veh2_class,0.99978673490907,manual_review_ge_0p80,False,Review structural/deterministic relationship.
individual,veh1_present,veh1_class,0.9997689607646777,manual_review_ge_0p80,False,Review structural/deterministic relationship.
individual,veh3_present,veh2_class,0.787741164492727,below_0p80,False,
individual,veh2_present,veh3_present,0.7742972864156296,below_0p80,False,
individual,veh2_present,veh3_class,0.7740447942092248,below_0p80,False,
individual,veh2_present,veh1_class,0.6835421049331055,below_0p80,False,
individual,veh1_present,veh2_present,0.6632537759346925,below_0p80,False,
individual,veh1_present,veh2_class,0.6629321885319539,below_0p80,False,
individual,veh1_ttc_infinite,veh2_ttc_infinite,0.6389189654396106,below_0p80,False,
individual,veh2_ttc_infinite,veh3_ttc_infinite,0.6103384179826337,below_0p80,False,
individual,veh3_class,traffic_period,0.5566793068403123,below_0p80,False,
individual,veh3_present,veh1_class,0.556017322185262,below_0p80,False,
individual,veh1_present,veh3_present,0.5135478379231172,below_0p80,False,
individual,veh1_present,veh3_class,0.5131670659028129,below_0p80,False,
individual,veh2_class,traffic_period,0.46515418087062504,below_0p80,False,
individual,veh3_ttc_infinite,veh3_class,0.4440045460190037,below_0p80,False,
individual,veh3_present,traffic_period,0.4084801778470151,below_0p80,False,
individual,veh1_ttc_infinite,veh3_ttc_infinite,0.4079523512430065,below_0p80,False,
individual,veh3_present,veh3_ttc_infinite,0.3980761040868974,below_0p80,False,
individual,veh1_class,traffic_period,0.3849174166375797,below_0p80,False,
individual,veh2_ttc_infinite,veh2_class,0.34959681829614897,below_0p80,False,
individual,veh3_ttc_infinite,veh2_class,0.3477317211243728,below_0p80,False,
individual,veh3_present,location_id,0.33171398465972923,below_0p80,False,
individual,veh3_ttc_infinite,location_id,0.3195456435060373,below_0p80,False,
individual,veh3_ttc_infinite,veh1_class,0.31781282007966044,below_0p80,False,
individual,veh2_present,traffic_period,0.3163712872117808,below_0p80,False,
individual,veh2_present,veh3_ttc_infinite,0.30820981810356063,below_0p80,False,
individual,veh2_present,veh2_ttc_infinite,0.3057864045244595,below_0p80,False,
individual,veh2_present,location_id,0.2993959932059559,below_0p80,False,
individual,veh1_ttc_infinite,traffic_period,0.2923438593753894,below_0p80,False,
individual,veh2_class,veh3_class,0.2809203555922168,below_0p80,False,
individual,veh1_ttc_infinite,veh3_class,0.27855957594340713,below_0p80,False,
individual,veh2_ttc_infinite,veh3_class,0.27646374775112353,below_0p80,False,
individual,veh1_class,location_id,0.26801737554514377,below_0p80,False,
individual,veh2_class,location_id,0.26347245316935475,below_0p80,False,
individual,veh3_class,location_id,0.25634946731919755,below_0p80,False,
individual,veh1_ttc_infinite,veh1_class,0.256228588493869,below_0p80,False,
individual,veh2_ttc_infinite,veh1_class,0.24262679769900267,below_0p80,False,
individual,veh1_class,veh2_class,0.2402990398557918,below_0p80,False,
individual,veh1_present,location_id,0.2196179944504366,below_0p80,False,
individual,veh2_ttc_infinite,location_id,0.21388417341853727,below_0p80,False,
individual,veh1_present,traffic_period,0.2130731697784976,below_0p80,False,
individual,veh1_present,veh3_ttc_infinite,0.20437725894612643,below_0p80,False,
individual,veh1_present,veh2_ttc_infinite,0.20276949839170888,below_0p80,False,
individual,veh1_present,veh1_ttc_infinite,0.20131668514476245,below_0p80,False,
individual,veh1_class,veh3_class,0.1980807839679924,below_0p80,False,
individual,gender,age_group,0.1901469577373394,below_0p80,False,
individual,veh2_ttc_infinite,traffic_period,0.18297275639906263,below_0p80,False,
individual,veh1_ttc_infinite,veh2_class,0.1733738767252147,below_0p80,False,
individual,age_group,location_id,0.17075308871567307,below_0p80,False,
individual,gender,location_id,0.16085704740825477,below_0p80,False,
individual,age_group,veh3_present,0.1526478985403952,below_0p80,False,
individual,veh1_ttc_infinite,location_id,0.1473593750584844,below_0p80,False,
individual,location_id,traffic_period,0.1359193591467453,below_0p80,False,
individual,age_group,veh2_present,0.12821563646451287,below_0p80,False,
individual,veh3_present,veh2_ttc_infinite,0.12095117333728006,below_0p80,False,
individual,veh3_present,veh1_ttc_infinite,0.11981652509708281,below_0p80,False,
individual,age_group,veh1_present,0.11414937619844294,below_0p80,False,
individual,gender,veh2_class,0.10815672516100654,below_0p80,False,
individual,age_group,veh3_class,0.10776017308918669,below_0p80,False,
individual,age_group,veh1_class,0.10625952586242846,below_0p80,False,
individual,gender,veh3_present,0.09690765482145558,below_0p80,False,
individual,age_group,veh2_class,0.0940524025232205,below_0p80,False,
individual,gender,veh3_ttc_infinite,0.09332315221427621,below_0p80,False,
individual,gender,veh3_class,0.08802917324425913,below_0p80,False,
individual,age_group,veh1_ttc_infinite,0.08690648820516786,below_0p80,False,
individual,gender,veh1_ttc_infinite,0.08587737303441562,below_0p80,False,
individual,age_group,veh3_ttc_infinite,0.08035397508023269,below_0p80,False,
individual,age_group,veh2_ttc_infinite,0.07703759153572162,below_0p80,False,
individual,gender,veh2_present,0.07596861546111457,below_0p80,False,
individual,age_group,traffic_period,0.07439378661803298,below_0p80,False,
individual,gender,veh1_class,0.07395197406173225,below_0p80,False,
individual,gender,traffic_period,0.05653102129792193,below_0p80,False,
individual,gender,veh1_present,0.048798090534049064,below_0p80,False,
individual,gender,veh2_ttc_infinite,0.047763506071522785,below_0p80,False,
individual,veh3_ttc_infinite,traffic_period,0.03972862556150578,below_0p80,False,
individual,veh2_present,veh1_ttc_infinite,0.0,below_0p80,False,
