dataset,categorical_feature,numeric_feature,correlation_ratio_eta_squared,pairwise_nonmissing_n,review_flag_eta2_ge_0p50,automatic_deletion
individual,veh3_ttc_infinite,veh3_ttc_capped_sec,0.9731284894758611,28139,True,False
individual,veh2_ttc_infinite,veh2_ttc_capped_sec,0.9707883386524162,28139,True,False
individual,veh1_ttc_infinite,veh1_ttc_capped_sec,0.9672018646302446,28139,True,False
individual,veh3_class,veh3_history_observed_fraction,0.8124977900644376,28139,True,False
individual,veh3_present,veh3_history_observed_fraction,0.800636707951198,28139,True,False
individual,veh2_class,veh2_history_observed_fraction,0.7043810981100449,28139,True,False
individual,veh2_present,veh2_history_observed_fraction,0.6993452844506228,28139,True,False
individual,veh3_class,veh2_history_observed_fraction,0.5479053526350062,28139,True,False
individual,veh3_present,veh2_history_observed_fraction,0.5460971590536614,28139,True,False
individual,veh1_class,veh1_history_observed_fraction,0.5029703489416635,28139,True,False
individual,veh2_class,veh3_history_observed_fraction,0.5022940655850101,28139,True,False
individual,veh1_ttc_infinite,veh1_history_front_y_change_m,0.4867543494719502,26792,False,False
individual,veh1_present,veh1_history_observed_fraction,0.4853330495174523,28139,False,False
individual,veh2_ttc_infinite,veh2_history_front_y_change_m,0.48457884953976255,25253,False,False
individual,veh3_ttc_infinite,veh3_closing_speed_mps,0.4816164272365488,23634,False,False
individual,veh1_ttc_infinite,veh1_closing_speed_mps,0.4807795297461768,26792,False,False
individual,veh2_present,veh3_history_observed_fraction,0.4800221544887287,28139,False,False
individual,veh3_ttc_infinite,veh3_history_front_y_change_m,0.47653121237640317,23634,False,False
individual,veh2_ttc_infinite,veh2_closing_speed_mps,0.47361575189584004,25253,False,False
individual,veh3_ttc_infinite,veh3_speed_mps,0.46988981943061814,23455,False,False
individual,veh2_ttc_infinite,veh2_speed_mps,0.44994673322069934,25003,False,False
individual,veh1_ttc_infinite,veh1_speed_mps,0.448829383331189,26557,False,False
individual,traffic_period,veh1_history_mean_front_y_m,0.44076073151913214,26792,False,False
individual,traffic_period,veh2_history_mean_front_y_m,0.41598546494218036,25253,False,False
individual,veh2_ttc_infinite,veh1_ttc_capped_sec,0.40666307641285837,28139,False,False
individual,veh1_ttc_infinite,veh2_ttc_capped_sec,0.40179718079576915,28139,False,False
individual,traffic_period,veh3_history_mean_front_y_m,0.38791380451277124,23634,False,False
individual,location_id,active_vehicle_count,0.3874003371179102,28139,False,False
individual,veh3_ttc_infinite,veh2_ttc_capped_sec,0.38487312226664444,28139,False,False
individual,traffic_period,veh3_front_y_m,0.3706106827180294,23634,False,False
individual,veh2_ttc_infinite,veh3_ttc_capped_sec,0.36510306757815,28139,False,False
