dataset,feature_1,feature_2,spearman_rho,absolute_rho,pairwise_nonmissing_n,screening_zone,automatic_deletion,review_note
individual,history_observed_fraction,history_max_unobserved_gap_sec,-0.995750420670155,0.995750420670155,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_vx_mps,history_x_displacement_m,0.9946257845938195,0.9946257845938195,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_low_speed_wait_mean_sec,dbscan_companion_low_speed_wait_max_sec,0.9937878926358756,0.9937878926358756,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_vy_mps,history_y_displacement_m,0.99101562955449,0.99101562955449,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_wait_mean_sec,dbscan_companion_wait_max_sec,0.9870008415843771,0.9870008415843771,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_history_mean_group_size,dbscan_history_mean_spread_m,0.9773024210947874,0.9773024210947874,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_wait_max_sec,dbscan_companion_low_speed_wait_max_sec,0.951102575175174,0.951102575175174,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_wait_max_sec,dbscan_companion_low_speed_wait_mean_sec,0.944350202991967,0.944350202991967,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_wait_mean_sec,dbscan_companion_low_speed_wait_mean_sec,0.9438348949433023,0.9438348949433023,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_wait_mean_sec,dbscan_companion_low_speed_wait_max_sec,0.93440218975983,0.93440218975983,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,dbscan_companion_low_speed_fraction,dbscan_companion_low_speed_wait_mean_sec,0.9331295637071416,0.9331295637071416,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,veh3_speed_mps,veh3_closing_speed_mps,0.9249961061062238,0.9249961061062238,23455,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_speed_mps,dbscan_history_mean_speed_mps,0.9140288426981767,0.9140288426981767,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
