dataset,feature_name,raw_vif,vif_zone
individual,veh1_history_mean_front_y_m,3898.4918201699857,review_gt_10
individual,veh1_front_y_m,3002.785360158825,review_gt_10
individual,veh2_history_mean_front_y_m,2844.5175810834353,review_gt_10
individual,veh2_front_y_m,2166.049484857968,review_gt_10
individual,veh3_history_mean_front_y_m,1939.1829150960705,review_gt_10
individual,veh3_front_y_m,1513.7179397633308,review_gt_10
individual,history_mean_vx_mps,230.15125446221887,review_gt_10
individual,history_x_displacement_m,227.5935836759715,review_gt_10
individual,veh1_history_front_y_change_m,213.3540470315345,review_gt_10
individual,veh2_history_front_y_change_m,171.55400007863568,review_gt_10
individual,veh3_history_front_y_change_m,141.2992157907939,review_gt_10
individual,veh3_closing_speed_mps,112.36637152577495,review_gt_10
individual,history_mean_vy_mps,103.81532995816096,review_gt_10
individual,veh3_speed_mps,103.64686035815495,review_gt_10
individual,history_y_displacement_m,98.26848114988148,review_gt_10
individual,dbscan_companion_wait_mean_sec,88.34222093700478,review_gt_10
individual,veh2_closing_speed_mps,64.44847928468151,review_gt_10
individual,veh2_speed_mps,56.466573630296686,review_gt_10
individual,veh1_closing_speed_mps,40.0016930329606,review_gt_10
individual,active_vehicle_count,37.76022621672373,review_gt_10
individual,veh1_speed_mps,32.966789739324426,review_gt_10
individual,dbscan_companion_wait_min_sec,30.025640248018714,review_gt_10
individual,stopped_vehicle_count,29.119969182670978,review_gt_10
individual,dbscan_companion_wait_max_sec,24.75469713327681,review_gt_10
individual,history_observed_fraction,20.304026032251066,review_gt_10
individual,approaching_vehicle_count,17.44264691855274,review_gt_10
individual,history_mean_speed_mps,16.93327828481068,review_gt_10
individual,history_max_unobserved_gap_sec,13.809718246507646,review_gt_10
individual,dbscan_history_mean_spread_m,12.193472388189788,review_gt_10
individual,dbscan_history_mean_group_size,9.068969993265274,review_5_to_10
individual,dbscan_history_mean_vx_mps,8.174069014413785,review_5_to_10
individual,dbscan_history_mean_speed_mps,6.454726895749096,review_5_to_10
individual,dbscan_history_mean_vy_mps,6.096291229505952,review_5_to_10
individual,history_speed_std_mps,5.4693506513531505,review_5_to_10
individual,veh3_ttc_capped_sec,5.170300300339133,review_5_to_10
individual,window_low_speed_fraction,5.133278009965171,review_5_to_10
individual,veh2_ttc_capped_sec,5.089108821245854,review_5_to_10
individual,veh3_history_observed_fraction,4.274919670385541,below_5
individual,veh1_ttc_capped_sec,4.00047226218914,below_5
individual,veh2_history_observed_fraction,3.6490567739352704,below_5
individual,history_interpolated_fraction,3.5254096273346196,below_5
individual,veh2_lateral_x_m,2.4688503869091174,below_5
individual,current_vx_mps,2.3979583790696117,below_5
individual,veh1_history_observed_fraction,2.357665008429566,below_5
individual,dbscan_companion_male_ratio_2s_mean,2.345890956930849,below_5
individual,waiting_band_dwell_sec,2.17156698540023,below_5
individual,veh3_lateral_x_m,1.8556656961407685,below_5
individual,dbscan_companion_low_speed_fraction,1.8041828679542575,below_5
individual,veh1_lateral_x_m,1.7760775563530398,below_5
individual,current_vy_mps,1.6616428921945272,below_5
individual,dbscan_companion_adult_ratio_2s_mean,1.655226480263092,below_5
individual,dbscan_companion_female_ratio_2s_mean,1.5392500601805443,below_5
individual,current_speed_mps,1.4563633942370695,below_5
individual,history_vy_slope_mps2,1.4071045022310076,below_5
individual,dbscan_companion_young_ratio_2s_mean,1.2193706559555055,below_5
individual,current_x_m,1.1081008465823639,below_5
individual,dbscan_companion_old_ratio_2s_mean,1.0744130960751694,below_5
individual,distance_to_crossing_line_m,1.0632413185086607,below_5
