dataset,feature_name,block,variable_type,behavioural_reason,selection_status,primary_association_test,effect_size,nonmissing,missing,missing_fraction,unique_nonmissing,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,level_counts_json
group_snapshot,location_id,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,cramers_v,3691,0,0.0,6,,,,,,,,,,,,"{""FG"": 1661, ""BM"": 971, ""KB"": 629, ""JG"": 172, ""ITC"": 142, ""BS"": 116}"
group_snapshot,traffic_period,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,cramers_v,3691,0,0.0,2,,,,,,,,,,,,"{""peak"": 3100, ""off_peak"": 591}"
group_snapshot,raw_group_size,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,theory_mandatory,mann_whitney_u,rank_biserial,3691,0,0.0,14,2.7214846924952587,1.318380202664033,2.0,2.0,2.0,2.0,2.0,3.0,5.0,8.0,17.0,
group_snapshot,raw_waiting_band_eligible_member_count,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,8,1.897859658629098,0.8908588912048863,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0,
group_snapshot,cohort_eligible_member_count,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,8,1.897859658629098,0.8908588912048863,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,8.0,
group_snapshot,eligible_member_fraction_of_group,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,32,0.7537836865422248,0.28720096813485274,0.0714285714285714,0.16428571428571417,0.25,0.5,1.0,1.0,1.0,1.0,1.0,
group_snapshot,dbscan_centroid_x_m,analysis_control,numeric,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,mann_whitney_u,rank_biserial,3691,0,0.0,3690,2.3309274454077484,1.9246947787645963,-4.820494,-1.8050873,-0.1052945,1.0550424999999999,1.940794,3.3811315,6.3286155,7.69951919999999,9.549349,
group_snapshot,dbscan_centroid_y_m,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,3691,-1.6255238404226497,1.171473210964017,-5.166678,-3.7706980999999997,-3.2536365,-2.5867120000000003,-1.757877,-0.6169290000000001,0.2535285,0.7095958999999986,2.644914,
group_snapshot,dbscan_spread_m,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,3685,0.6282448924410728,0.28274591692310586,0.043354,0.1812435,0.28009850000000003,0.42029700000000003,0.590391,0.7416625,1.1678790000000001,1.5244806999999991,2.373985,
group_snapshot,dbscan_mean_vx_mps,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,3686,0.010240303169872664,0.5118906753890571,-2.991092,-1.4708292,-0.8190565000000001,-0.167714,-0.001403,0.173546,0.942507,1.5068679999999992,3.311254,
group_snapshot,dbscan_mean_vy_mps,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,3690,-0.022291401517204008,1.0068955960156805,-5.881918,-2.7864304,-1.5849705,-0.42709600000000003,-0.021406,0.3201535,1.637151,3.1124351999999935,7.493234,
group_snapshot,dbscan_mean_speed_mps,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,rank_biserial,3691,0,0.0,3688,1.0227998648062855,0.9045801815541878,0.006812,0.0286713,0.06973099999999999,0.317593,0.824229,1.4559385,2.745174,4.203627999999998,7.893105,
group_snapshot,group_male_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,rank_biserial,3691,0,0.0,37,0.6526386028176646,0.34300371796754126,0.0,0.0,0.0,0.5,0.666667,1.0,1.0,1.0,1.0,
group_snapshot,group_female_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,rank_biserial,3691,0,0.0,22,0.14711571823354105,0.2553166143130449,0.0,0.0,0.0,0.0,0.0,0.25,0.666667,1.0,1.0,
group_snapshot,group_unknown_gender_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,rank_biserial,3691,0,0.0,35,0.20024565429422922,0.2765037158077421,0.0,0.0,0.0,0.0,0.0,0.5,0.714286,1.0,1.0,
group_snapshot,group_young_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,rank_biserial,3691,0,0.0,17,0.11875948062855593,0.22291665927752918,0.0,0.0,0.0,0.0,0.0,0.166667,0.5,1.0,1.0,
group_snapshot,group_adult_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,rank_biserial,3691,0,0.0,33,0.34550464779192636,0.33524905165421326,0.0,0.0,0.0,0.0,0.333333,0.5,1.0,1.0,1.0,
group_snapshot,group_old_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,theory_mandatory,mann_whitney_u,rank_biserial,3691,0,0.0,17,0.029257948252506098,0.10951217911772664,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.5,1.0,
group_snapshot,group_unknown_age_ratio,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,rank_biserial,3691,0,0.0,33,0.5064778967759415,0.33025694315046233,0.0,0.0,0.0,0.333333,0.5,0.666667,1.0,1.0,1.0,
