feature_1,feature_2,spearman_rho,absolute_rho
raw_waiting_band_eligible_member_count,cohort_eligible_member_count,1.0,1.0
member_history_observed_fraction_max,member_history_max_unobserved_gap_sec_min,-0.9987737695666412,0.9987737695666412
member_history_observed_fraction_mean,member_history_max_unobserved_gap_sec_mean,-0.9942907190081886,0.9942907190081886
member_history_mean_vy_mps_min,member_history_y_displacement_m_min,0.991866444112743,0.991866444112743
member_waiting_low_speed_time_sec_mean,member_waiting_low_speed_time_sec_max,0.9914323916432337,0.9914323916432337
member_history_mean_vy_mps_mean,member_history_y_displacement_m_mean,0.991427310834334,0.991427310834334
member_history_observed_fraction_min,member_history_max_unobserved_gap_sec_max,-0.9913802711683708,0.9913802711683708
member_history_mean_vy_mps_max,member_history_y_displacement_m_max,0.9896926833215451,0.9896926833215451
member_history_interpolated_fraction_mean,member_history_interpolated_fraction_max,0.9896318085320205,0.9896318085320205
member_history_observed_fraction_mean,member_history_observed_fraction_min,0.9886611099390955,0.9886611099390955
member_history_max_unobserved_gap_sec_mean,member_history_max_unobserved_gap_sec_max,0.9875466840458019,0.9875466840458019
member_history_observed_fraction_mean,member_history_max_unobserved_gap_sec_max,-0.9828657650617251,0.9828657650617251
member_waiting_band_dwell_sec_mean,member_waiting_band_dwell_sec_max,0.9816292482822966,0.9816292482822966
member_history_observed_fraction_min,member_history_max_unobserved_gap_sec_mean,-0.9800912681151395,0.9800912681151395
member_distance_to_crossing_line_m_mean,member_distance_to_crossing_line_m_min,0.977829057469692,0.977829057469692
member_distance_to_crossing_line_m_mean,member_distance_to_crossing_line_m_max,0.9654781840468708,0.9654781840468708
member_current_speed_mps_mean,member_current_speed_mps_max,0.9653925916687922,0.9653925916687922
member_window_low_speed_fraction_mean,member_window_low_speed_fraction_max,0.9616344681691232,0.9616344681691232
dbscan_centroid_y_m,member_distance_to_crossing_line_m_mean,-0.9587805308989293,0.9587805308989293
member_history_mean_speed_mps_mean,member_history_mean_speed_mps_max,0.9457678008547146,0.9457678008547146
dbscan_centroid_y_m,member_distance_to_crossing_line_m_min,-0.9397561879446593,0.9397561879446593
member_waiting_band_dwell_sec_max,member_waiting_low_speed_time_sec_max,0.9240251299211916,0.9240251299211916
member_window_low_speed_fraction_mean,member_window_low_speed_fraction_min,0.9238498174454763,0.9238498174454763
dbscan_centroid_y_m,member_distance_to_crossing_line_m_max,-0.9212041611394695,0.9212041611394695
member_history_mean_speed_mps_min,member_window_low_speed_fraction_max,-0.9185205748539723,0.9185205748539723
member_waiting_band_dwell_sec_mean,member_waiting_low_speed_time_sec_mean,0.9181909844317498,0.9181909844317498
member_history_mean_speed_mps_mean,member_history_mean_speed_mps_min,0.9179149814854913,0.9179149814854913
veh3_speed_mps,veh3_closing_speed_mps,0.9176161310943068,0.9176161310943068
member_waiting_band_dwell_sec_mean,member_waiting_low_speed_time_sec_max,0.9132368493742052,0.9132368493742052
member_waiting_band_dwell_sec_max,member_waiting_low_speed_time_sec_mean,0.9087037361496538,0.9087037361496538
member_history_mean_vy_mps_mean,member_history_mean_vy_mps_min,0.9003884680053355,0.9003884680053355
member_history_y_displacement_m_mean,member_history_y_displacement_m_min,0.8989808377445261,0.8989808377445261
veh2_speed_mps,veh2_closing_speed_mps,0.8986568741051163,0.8986568741051163
member_distance_to_crossing_line_m_min,member_distance_to_crossing_line_m_max,0.8983908309497304,0.8983908309497304
member_history_observed_fraction_mean,member_history_interpolated_fraction_mean,-0.894562040245621,0.894562040245621
member_history_mean_vy_mps_mean,member_history_y_displacement_m_min,0.8941398515183064,0.8941398515183064
member_history_mean_vy_mps_min,member_history_y_displacement_m_mean,0.8936708682657625,0.8936708682657625
veh2_front_y_m,veh2_history_mean_front_y_m,0.8917484461552134,0.8917484461552134
veh1_front_y_m,veh1_history_mean_front_y_m,0.8912258155705516,0.8912258155705516
member_history_observed_fraction_min,member_history_interpolated_fraction_max,-0.8893754223803895,0.8893754223803895
member_history_mean_speed_mps_mean,member_window_low_speed_fraction_mean,-0.8876183064568195,0.8876183064568195
veh3_front_y_m,veh3_history_mean_front_y_m,0.8862061146259502,0.8862061146259502
member_history_observed_fraction_mean,member_history_interpolated_fraction_max,-0.8856296848262909,0.8856296848262909
member_history_mean_speed_mps_min,member_window_low_speed_fraction_mean,-0.8844823403742681,0.8844823403742681
member_history_observed_fraction_max,member_history_interpolated_fraction_min,-0.8842603710809194,0.8842603710809194
member_history_interpolated_fraction_mean,member_history_max_unobserved_gap_sec_mean,0.8805362515995212,0.8805362515995212
member_history_interpolated_fraction_min,member_history_max_unobserved_gap_sec_min,0.87910029541388,0.87910029541388
member_history_observed_fraction_min,member_history_interpolated_fraction_mean,-0.8787592047641404,0.8787592047641404
member_history_y_displacement_m_mean,member_history_y_displacement_m_max,0.87709904033206,0.87709904033206
member_history_mean_vy_mps_mean,member_history_mean_vy_mps_max,0.8768902131234267,0.8768902131234267
veh1_speed_mps,veh1_closing_speed_mps,0.8761264748826716,0.8761264748826716
member_history_interpolated_fraction_max,member_history_max_unobserved_gap_sec_max,0.8707197852053824,0.8707197852053824
member_history_mean_vy_mps_max,member_history_y_displacement_m_mean,0.8706977362647216,0.8706977362647216
veh3_closing_speed_mps,veh3_history_front_y_change_m,-0.8698326642975995,0.8698326642975995
member_history_mean_vy_mps_mean,member_history_y_displacement_m_max,0.8695094969021231,0.8695094969021231
veh2_closing_speed_mps,veh2_history_front_y_change_m,-0.8692499253629596,0.8692499253629596
member_waiting_band_dwell_sec_min,member_waiting_low_speed_time_sec_min,0.8689271570172791,0.8689271570172791
member_history_interpolated_fraction_max,member_history_max_unobserved_gap_sec_mean,0.868245105467097,0.868245105467097
dbscan_mean_speed_mps,member_current_speed_mps_mean,0.8652469564873518,0.8652469564873518
member_window_low_speed_fraction_max,member_waiting_low_speed_time_sec_mean,0.8634802768428653,0.8634802768428653
member_history_interpolated_fraction_mean,member_history_max_unobserved_gap_sec_max,0.8629099659733872,0.8629099659733872
member_window_low_speed_fraction_max,member_waiting_low_speed_time_sec_max,0.8612236458557958,0.8612236458557958
