,raw_group_size,raw_waiting_band_eligible_member_count,cohort_eligible_member_count,eligible_member_fraction_of_group,dbscan_centroid_x_m,dbscan_centroid_y_m,dbscan_spread_m,dbscan_mean_vx_mps,dbscan_mean_vy_mps,dbscan_mean_speed_mps,group_male_ratio,group_female_ratio,group_unknown_gender_ratio,group_young_ratio,group_adult_ratio,group_old_ratio,group_unknown_age_ratio,member_distance_to_crossing_line_m_mean,member_distance_to_crossing_line_m_min,member_distance_to_crossing_line_m_max,member_current_vy_mps_mean,member_current_vy_mps_min,member_current_vy_mps_max,member_current_speed_mps_mean,member_current_speed_mps_min,member_current_speed_mps_max,member_history_mean_vy_mps_mean,member_history_mean_vy_mps_min,member_history_mean_vy_mps_max,member_history_mean_speed_mps_mean,member_history_mean_speed_mps_min,member_history_mean_speed_mps_max,member_history_y_displacement_m_mean,member_history_y_displacement_m_min,member_history_y_displacement_m_max,member_window_low_speed_fraction_mean,member_window_low_speed_fraction_min,member_window_low_speed_fraction_max,member_waiting_band_dwell_sec_mean,member_waiting_band_dwell_sec_min,member_waiting_band_dwell_sec_max,member_waiting_low_speed_time_sec_mean,member_waiting_low_speed_time_sec_min,member_waiting_low_speed_time_sec_max,member_history_observed_fraction_mean,member_history_observed_fraction_min,member_history_observed_fraction_max,member_history_interpolated_fraction_mean,member_history_interpolated_fraction_min,member_history_interpolated_fraction_max,member_history_max_unobserved_gap_sec_mean,member_history_max_unobserved_gap_sec_min,member_history_max_unobserved_gap_sec_max,active_vehicle_count,approaching_vehicle_count,stopped_vehicle_count,veh1_lateral_x_m,veh1_front_y_m,veh1_speed_mps,veh1_closing_speed_mps,veh1_ttc_capped_sec,veh1_history_mean_front_y_m,veh1_history_front_y_change_m,veh1_history_observed_fraction,veh2_lateral_x_m,veh2_front_y_m,veh2_speed_mps,veh2_closing_speed_mps,veh2_ttc_capped_sec,veh2_history_mean_front_y_m,veh2_history_front_y_change_m,veh2_history_observed_fraction,veh3_lateral_x_m,veh3_front_y_m,veh3_speed_mps,veh3_closing_speed_mps,veh3_ttc_capped_sec,veh3_history_mean_front_y_m,veh3_history_front_y_change_m,veh3_history_observed_fraction
raw_group_size,1.0,0.2676889022853353,0.2676889022853353,-0.38596526259681235,0.02628871377924878,-0.051016102456560505,0.7256675745732043,-0.017255669342264166,0.008711072634818025,0.09349384525821267,-0.1898648451036782,0.10144042131053235,0.24143418411594336,0.08690694854478295,-0.09383162042579572,0.10978337095696561,0.12113290006251047,0.013482555610421847,-0.046881776117183964,0.09027328460124437,-0.01789734658208108,-0.12181688306419604,0.08055825283869524,0.04664457871252669,-0.07774702779253004,0.11334821082530348,-0.008345954011515552,-0.07840044244779734,0.0679483682726342,0.04261115075943039,-0.04155175317525203,0.11837374554636458,-0.007458023430997371,-0.07752635257064536,0.06920510908200361,0.024425796485684693,-0.04786140910097179,0.0827574026848795,-0.00563182761714746,-0.13798385730393048,0.027749030402793636,0.029847166043760604,-0.08580785474184945,0.052649858957499095,-0.10829888809353395,-0.13362859001771418,-0.024478178035675327,0.11858991655376938,0.03432465380142269,0.14248204558173433,0.10271303171536063,0.023730723407901687,0.1280655450281695,0.052601594795619495,0.15309442819625715,-0.0247819585288013,-0.1404180600248628,-0.03701855394549811,-0.01798002276563998,-0.02084912627976463,-0.02769984984574361,-0.017933448720027778,0.006270765724068379,0.031934141084804746,-0.041731773458578494,-0.00595478463045061,0.04103099769421899,0.03710239967531226,-0.09901626267495986,0.02321082067147923,-0.03281318145999647,0.017666512614019258,-0.013664500913729737,0.02007115903276731,0.11829532881369591,0.1295583389011659,-0.14961971254498357,0.06192717299355048,-0.12181702704965944,0.021933398045518318
raw_waiting_band_eligible_member_count,0.2676889022853353,1.0,1.0,0.7507082412831885,0.04185423228126356,0.041305358801001404,0.10541070945070018,0.020921700647768667,-0.016795028027961338,-0.19194882938454116,0.03988741030124478,0.07164980601880967,-0.07421708746200578,0.048764882997909424,0.02035959095694961,-0.04069870469776635,-0.010276879525138357,-0.023216760915446152,-0.13906192851351581,0.12449018778978466,-0.028844616630674873,-0.28902838550817966,0.23795336271003706,-0.08931016940193608,-0.42196252858270084,0.10478127285453136,-0.01411021998747883,-0.21236517375637418,0.19908257692772824,-0.15414480812698206,-0.3786666411276129,0.050498230212596765,-0.012451267251116345,-0.21319075293130693,0.203414315917245,0.24070876905744,0.019373720903046798,0.3902358193986527,0.35207574639195005,0.04383986899508207,0.4535386145510463,0.36124533669975323,0.05633479789754689,0.43435741136452455,-0.049202376889721476,-0.12890604386265694,0.3163591155216867,0.056287265217035476,-0.3169174440177099,0.12972225899306564,0.0437703802682897,-0.3159200372934435,0.12620016840114764,-0.08195398893211485,0.08183093922627126,-0.14228516204336894,-0.0720324227954884,-0.02490262904512133,0.08422678283300734,0.07430880363067091,-0.09932435875914013,0.02145211158362304,-0.08412855530450296,-0.011453182686874152,-0.02174922277499592,0.011975156158132416,0.12067968435258909,0.10625908183266232,-0.1479911115559834,0.0749884251949815,-0.11570089816070381,0.014427284682606718,0.03263810564855537,0.01666296486903722,0.1635978773568149,0.1604570171570703,-0.17814356473929743,0.10669626097083879,-0.1689308241040372,-0.015936994913280544
cohort_eligible_member_count,0.2676889022853353,1.0,1.0,0.7507082412831885,0.04185423228126356,0.041305358801001404,0.10541070945070018,0.020921700647768667,-0.016795028027961338,-0.19194882938454116,0.03988741030124478,0.07164980601880967,-0.07421708746200578,0.048764882997909424,0.02035959095694961,-0.04069870469776635,-0.010276879525138357,-0.023216760915446152,-0.13906192851351581,0.12449018778978466,-0.028844616630674873,-0.28902838550817966,0.23795336271003706,-0.08931016940193608,-0.42196252858270084,0.10478127285453136,-0.01411021998747883,-0.21236517375637418,0.19908257692772824,-0.15414480812698206,-0.3786666411276129,0.050498230212596765,-0.012451267251116345,-0.21319075293130693,0.203414315917245,0.24070876905744,0.019373720903046798,0.3902358193986527,0.35207574639195005,0.04383986899508207,0.4535386145510463,0.36124533669975323,0.05633479789754689,0.43435741136452455,-0.049202376889721476,-0.12890604386265694,0.3163591155216867,0.056287265217035476,-0.3169174440177099,0.12972225899306564,0.0437703802682897,-0.3159200372934435,0.12620016840114764,-0.08195398893211485,0.08183093922627126,-0.14228516204336894,-0.0720324227954884,-0.02490262904512133,0.08422678283300734,0.07430880363067091,-0.09932435875914013,0.02145211158362304,-0.08412855530450296,-0.011453182686874152,-0.02174922277499592,0.011975156158132416,0.12067968435258909,0.10625908183266232,-0.1479911115559834,0.0749884251949815,-0.11570089816070381,0.014427284682606718,0.03263810564855537,0.01666296486903722,0.1635978773568149,0.1604570171570703,-0.17814356473929743,0.10669626097083879,-0.1689308241040372,-0.015936994913280544
eligible_member_fraction_of_group,-0.38596526259681235,0.7507082412831885,0.7507082412831885,1.0,0.007957180173522734,0.09079723914717282,-0.390539214256148,0.028659125160163907,-0.02732454888457113,-0.25501452908858885,0.1602153770586525,0.010872824762181833,-0.23522752171723313,-0.013310230421249614,0.09537480476332186,-0.1111906184543153,-0.10235029926244597,-0.04097134618044094,-0.10320933566132003,0.03996216637591053,-0.020256381496699002,-0.19101575624512138,0.16049161998514802,-0.11799965821251387,-0.34482456965272196,0.01791465451314964,-0.01027283072442165,-0.14958245960389938,0.13749816375478602,-0.17193028798590762,-0.32451693358313016,-0.033648979380958004,-0.010755087281066633,-0.15173667922416148,0.1398467473958118,0.21044166589844754,0.05327392273340205,0.3094186870686354,0.34012637973619325,0.14284962762492956,0.4097775094880843,0.3232551316909103,0.11636739550613533,0.3752737291181871,0.02776534006869518,-0.02777844357586869,0.304335761679049,-0.027567680595166795,-0.30735101909793666,0.022696225108568228,-0.02839185067188565,-0.30356648540448444,0.02924989986485329,-0.11137000016852054,-0.023296290027136415,-0.11961933631728959,0.04071118232718697,0.0010600419502876577,0.09816752108707663,0.08974211254467279,-0.08181405864721446,0.03608613590722642,-0.09443240175499892,-0.03878436064685958,0.018031848805540762,0.020443466157072817,0.09633148776646806,0.08591959439164822,-0.0855062619915995,0.06323045165255806,-0.09780016348161821,0.0030616100437510646,0.045172730589475144,0.0028879374794779184,0.0718638951789047,0.06351959648271807,-0.06546027163181983,0.06011473379288072,-0.07250188493090698,-0.02428220194738441
dbscan_centroid_x_m,0.02628871377924878,0.04185423228126356,0.04185423228126356,0.007957180173522734,1.0,0.007384832221079512,0.027103386103828994,0.031164654758971882,-0.01630983368886879,0.11938609796993521,0.18853198605672497,-0.13287469453277428,-0.09381949477066077,0.0530479792305004,-0.05567169210381885,-0.08660082162506325,0.07281095107555637,-0.00039762128631724863,0.00439430544469711,0.007438861053095207,-0.0026503779438742017,-0.007034316607763919,0.014047512331417673,0.1349557253507693,0.10628305280473964,0.1339850655404654,-0.03714557251653216,-0.054402697097632256,-0.003269974077501215,0.1296476297282298,0.1104433905915607,0.12511865993096105,-0.03602433003135139,-0.05565717816784714,-0.0034746582677963895,-0.1677915151302878,-0.18248645406607528,-0.14507778891525555,-0.017223050100041278,-0.05472687668242762,-0.006260907164204643,-0.08228500955352151,-0.11935383347823209,-0.07145713213763945,0.06555679822229982,0.06162886218744977,0.06479120328418458,-0.044901906870389564,-0.049822199879955995,-0.04081025842262725,-0.06022049524774287,-0.06272050900250552,-0.05594622479328529,-0.06552318367002395,-0.153362924822024,0.06635954586954555,-0.10415909571629457,-0.18037559072971468,-0.16808499342907707,-0.15244484250591497,0.11387763500723824,-0.20088854808350182,0.14629646884889697,-0.008270421384695989,-0.1828144495494899,-0.16576423190630582,-0.17889359414249428,-0.17401593031976814,0.1383811262704423,-0.19901130674940787,0.16480539906902097,-0.0629750860392402,-0.17160995492912107,-0.14734176198007415,-0.11894069033982177,-0.11016662794753808,0.06562377751481904,-0.16090870970975443,0.09158965323805994,-0.029406861121036
dbscan_centroid_y_m,-0.051016102456560505,0.041305358801001404,0.041305358801001404,0.09079723914717282,0.007384832221079512,1.0,-0.037639704721193004,-0.018592629806332677,0.04338124850809977,0.010513763370291446,0.0931607001547042,0.13924666172248787,-0.233647083691214,-0.03452242364966383,0.15811037434484193,0.1474068152605596,-0.19025045678544278,-0.9587805308989293,-0.9397561879446593,-0.9212041611394695,0.008407443814999563,-0.0375476063275677,0.04322883327860686,0.06995212929957811,0.02610044050205266,0.08079036573558922,0.05675352037384113,0.02489667254690777,0.08047294050636598,0.08614427283696335,0.07600105059800197,0.08351863491941193,0.05689302799546633,0.02363918040037883,0.08150695805302567,-0.08368164714709485,-0.08072438247933195,-0.07468858200710544,-0.043685019913484245,-0.061146622096517715,-0.029767299567778394,-0.040895072940652095,-0.05671867978658866,-0.03096534388675812,0.0230481597919084,0.01867770328991854,0.02808429104631447,-0.03775924558263238,-0.046918212415257066,-0.03315544339058534,-0.021107094138636588,-0.027781078110187273,-0.015682614922384864,-0.0711248908167854,-0.034464349007170915,-0.11510548339010473,0.05736049904566688,0.04892189094848694,0.10649424853518995,0.11203837207326046,-0.11746029463314944,0.09635069495850981,-0.12413017500620979,-0.053250528349134685,-0.031636616605605725,0.07136625564821109,0.1010661693490844,0.1014104435007813,-0.0903518011710999,0.10426888180110791,-0.10112114365885845,-0.09642016545369897,-0.09794615008194217,0.0008146124647127124,0.030203320539742288,0.04755180561100246,-0.0018510253044733182,0.022058122182173193,-0.0334010671356256,-0.07988152227428377
dbscan_spread_m,0.7256675745732043,0.10541070945070018,0.10541070945070018,-0.390539214256148,0.027103386103828994,-0.037639704721193004,1.0,-0.019138622405158626,-0.005449080539571106,0.2317337654316239,-0.09198671525077985,0.08536208528905131,0.11952109646224879,0.1334995660035805,-0.0918463005103483,0.13232388978061888,0.0477039393581433,-0.0009329678841073038,-0.06112635178010901,0.07562002484210535,-0.01234289546208908,-0.09943173633735519,0.07429077851250088,0.16674300025783056,0.06267022597050191,0.20588601683264401,-0.014879492124012718,-0.07534341427613736,0.052371003567445985,0.15468020929175183,0.08733700452381911,0.20320706814913153,-0.011532128786857198,-0.07404175427936031,0.05594751632365036,-0.11331262182420909,-0.16220347912194527,-0.06326994691830183,-0.08670340257723991,-0.17387788261798154,-0.06580686100421762,-0.09057831203320038,-0.17734244870923993,-0.074874842729797,-0.06369126986046235,-0.0785689526501626,-0.029081018251693385,0.06565158201786282,0.03115207747627641,0.08023569518572189,0.06026863852236395,0.028764386164211075,0.07507811337481538,-0.026286776302023543,0.06964923885799713,-0.07073200653805958,-0.11959927188168773,0.0014737905982456331,0.010216733094020361,0.015049760846468148,-0.051683543856120735,0.02905595281505794,-0.03406503398163112,-0.015529737687057777,-0.0975365492732849,0.012325443246027362,0.027841179931977968,0.02669798706512568,-0.058736240383525165,0.033926355349500774,-0.02853846167428677,-0.024276288195441045,-0.04180292774537533,0.0507434301464498,0.08946870231346792,0.10335243694322203,-0.0985866456560709,0.08195068362957937,-0.1002622108645772,-0.024936981534436783
dbscan_mean_vx_mps,-0.017255669342264166,0.020921700647768667,0.020921700647768667,0.028659125160163907,0.031164654758971882,-0.018592629806332677,-0.019138622405158626,1.0,-0.2166229111476233,0.009075403868823358,0.03128636156750487,-0.021755687655536763,-0.01637138261554226,0.03357056797472942,-0.029924194313828915,-0.012180463367946493,0.01539175937294425,0.01836064506980424,0.016892032882682793,0.020215989017935296,-0.17590088918491512,-0.1420362254502236,-0.12135402428067278,0.011736487587863753,0.008822413872695804,0.013865627521583185,-0.11594417487938422,-0.10326060807674735,-0.09930917282510887,-0.0006865108643823499,0.00859037925489312,-0.005223985669275174,-0.11848888446612957,-0.10719251599344388,-0.10061498820169731,-0.002833415398219105,0.008834322481533667,-0.004566494978450483,0.03358181846928489,0.05808393702217009,0.027641814907316434,0.014249346374568905,0.0272503882032357,0.012687462889479728,-0.011421408587355105,-0.010777697887928081,-0.01331105282662477,0.012078290804762498,0.011381009743770862,0.011781956432208888,0.014783898249653737,0.014866373219664742,0.015251775024865516,-0.017994494062512082,-0.07231475245053696,0.0307434392428573,-0.03605454569901378,-0.0007930075481452685,-0.03997496141008441,-0.037595248362378535,0.04690598736737451,-0.017063205817189248,0.022265086075915846,0.04115668942603757,-0.048242906705691875,-0.019877402822128278,-0.04340394912684179,-0.04054262704641864,0.03543025591861955,-0.036559708228962075,0.0387426527901706,0.020726954895440044,-0.021835171594580673,-0.004918458913791891,-0.06013855170221775,-0.04332559399421305,0.04025092385991499,-0.025524793503239135,0.058422840771977236,-0.008031417619023686
dbscan_mean_vy_mps,0.008711072634818025,-0.016795028027961338,-0.016795028027961338,-0.02732454888457113,-0.01630983368886879,0.04338124850809977,-0.005449080539571106,-0.2166229111476233,1.0,-0.030245016886323098,-0.010339979669007607,-0.015829366159261508,0.02678796750143125,-0.08730691364464116,0.045258981629097694,-0.03476398467614152,0.025606178262487043,-0.04575884637181553,-0.04743270189770011,-0.038262981567257645,0.8078938762298856,0.6779696261482124,0.6756466837949148,-0.04564053695828423,-0.024969621620493827,-0.051617544908478225,0.42981226065110745,0.4023863676633396,0.3800672435554486,0.0008566710138192282,-0.012511745932426956,0.0067491090538951345,0.4312534660015142,0.4049823753021796,0.3793405597263279,0.01446606736233364,0.016117432289792098,0.014820797957654126,0.037101350032412356,0.03128716170170206,0.03671676067275936,0.02363741876753714,0.017645634845959244,0.02463997053060978,-0.06788155966446655,-0.06871645126601714,-0.04265475964727661,0.0575743583162505,0.029271817125035772,0.05868057682962866,0.06303732426719652,0.04066253906119829,0.06275987460927902,0.026009885949670665,0.03656849245127452,-0.0032572658513632287,0.06200021484786481,-0.009183831776932442,0.02654756979356307,0.005745357795550989,-0.026078978975963438,-0.0022032673717769283,-0.008739407326361475,0.002851653704357671,0.05218185516305066,-0.005302522705285705,0.02260618313006168,0.003089345923040187,-0.016828286469188877,-0.0021472412313333013,-0.010270834717077366,0.012711527149367229,0.03116840805060548,-0.0021075722799295806,0.02060315137270966,0.015439512049269652,-0.012847403947263974,0.007885093892659763,-0.014281581990320884,0.010940401218398503
dbscan_mean_speed_mps,0.09349384525821267,-0.19194882938454116,-0.19194882938454116,-0.25501452908858885,0.11938609796993521,0.010513763370291446,0.2317337654316239,0.009075403868823358,-0.030245016886323098,1.0,-0.010135177790600613,0.041521103071122986,0.000278264313917987,0.13800622852377392,-0.07390876358096768,0.04602160147357697,-0.029052892096092024,-0.02049661222782843,-0.03910321841900637,-0.007750945681379105,-0.03675373416361484,-0.19399495884679335,0.1301598610220122,0.8652469564873518,0.7563522450304132,0.817706813482879,-0.11866918669373337,-0.19107022510644442,8.888017015345806e-05,0.6667913566873127,0.6397662799764977,0.6191080358375834,-0.11807343973707048,-0.19250506045801166,0.0013454505587911691,-0.6589839044519565,-0.6283489511375216,-0.6298432592666074,-0.513791849534839,-0.49821910356845006,-0.4892624049397827,-0.6059936716698799,-0.6189406499396999,-0.5833651520419274,-0.20062352160886732,-0.18630822996839996,-0.1912573558035583,0.1871616815280643,0.17910406870797546,0.1742817954468459,0.20164515215694434,0.19013855470806934,0.18607507394578263,-0.05821737037301473,-0.15560880011286335,0.019069064581672304,-0.09561760787291482,-0.03448242849409436,-0.07569075168766648,-0.04196294363339718,0.015876478140568695,-0.035578046364090926,0.04364694303550429,-0.01715210373234527,-0.17413640494547078,-0.04240479570638308,-0.13157919058270462,-0.11239131032945636,0.11911482260226386,-0.07544190582548395,0.11188068488849857,-0.057728659782945335,-0.18016929602868462,-0.016526454504987097,-0.12109732022361742,-0.0873604695219888,0.1056063925100301,-0.06081576164580038,0.10179451103241109,-0.027970662551104777
