dataset,horizon_sec,feature_name,positive_rows,negative_rows,block,variable_type,behavioural_reason,selection_status,primary_association_test,effect_size,test,n_positive_nonmissing,n_negative_nonmissing,positive_mean,negative_mean,positive_median,negative_median,statistic,p_value,effect_size_name,test_detail,q_value_bh,fdr_significant_0p05
group_snapshot,1,location_id,316,3375,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,0.08597462852479767,chi_square,316,3375,,,,,32.276492617811506,5.2372865547243664e-06,cramers_v,"{""table"": {""BM"": {""0"": 909, ""1"": 62}, ""BS"": {""0"": 103, ""1"": 13}, ""FG"": {""0"": 1480, ""1"": 181}, ""ITC"": {""0"": 127, ""1"": 15}, ""JG"": {""0"": 169, ""1"": 3}, ""KB"": {""0"": 587, ""1"": 42}}, ""minimum_expected_count"": 9.931183960986182}",1.4893533639997416e-05,True
group_snapshot,2,location_id,613,3078,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,0.1108414575584068,chi_square,613,3078,,,,,50.3360596375073,1.182820351835579e-09,cramers_v,"{""table"": {""BM"": {""0"": 853, ""1"": 118}, ""BS"": {""0"": 94, ""1"": 22}, ""FG"": {""0"": 1347, ""1"": 314}, ""ITC"": {""0"": 114, ""1"": 28}, ""JG"": {""0"": 167, ""1"": 5}, ""KB"": {""0"": 503, ""1"": 126}}, ""minimum_expected_count"": 19.2652397724194}",2.5031779538845975e-09,True
group_snapshot,3,location_id,770,2921,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,0.13787464019498277,chi_square,770,2921,,,,,75.14609641077287,8.672229730077247e-15,cramers_v,"{""table"": {""BM"": {""0"": 826, ""1"": 145}, ""BS"": {""0"": 87, ""1"": 29}, ""FG"": {""0"": 1283, ""1"": 378}, ""ITC"": {""0"": 100, ""1"": 42}, ""JG"": {""0"": 165, ""1"": 7}, ""KB"": {""0"": 460, ""1"": 169}}, ""minimum_expected_count"": 24.199403955567597}",2.4661653294907172e-14,True
group_snapshot,1,traffic_period,316,3375,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,0.07099795922691199,chi_square,316,3375,,,,,19.60049032774919,9.544470067814936e-06,cramers_v,"{""table"": {""off_peak"": {""0"": 568, ""1"": 23}, ""peak"": {""0"": 2807, ""1"": 293}}, ""minimum_expected_count"": 50.59767000812788}",2.55454934167988e-05,True
group_snapshot,2,traffic_period,613,3078,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,0.04924686698092038,chi_square,613,3078,,,,,9.949457263900205,0.001608968258305019,cramers_v,"{""table"": {""off_peak"": {""0"": 519, ""1"": 72}, ""peak"": {""0"": 2559, ""1"": 541}}, ""minimum_expected_count"": 98.15307504741263}",0.0024402685250959457,True
group_snapshot,3,traffic_period,770,2921,analysis_control,categorical,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,chi_square_or_fisher,0.030979041361623525,chi_square,770,2921,,,,,4.5415674462267726,0.03308128665684,cramers_v,"{""table"": {""off_peak"": {""0"": 487, ""1"": 104}, ""peak"": {""0"": 2434, ""1"": 666}}, ""minimum_expected_count"": 123.29179084259009}",0.04181107063572834,True
group_snapshot,1,raw_group_size,316,3375,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,theory_mandatory,mann_whitney_u,0.07822597280825128,mann_whitney_u,316,3375,2.8734177215189876,2.7072592592592595,2.0,2.0,574964.0,0.007158274520589167,rank_biserial,two_sided,0.010856716356226903,True
group_snapshot,2,raw_group_size,613,3078,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,theory_mandatory,mann_whitney_u,0.06308517956724935,mann_whitney_u,613,3078,2.8792822185970635,2.690058479532164,2.0,2.0,1002922.0,0.003916614729014076,rank_biserial,two_sided,0.00556893656781689,True
group_snapshot,3,raw_group_size,770,2921,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,theory_mandatory,mann_whitney_u,0.05096902412890092,mann_whitney_u,770,2921,2.844155844155844,2.689147552208148,2.0,2.0,1181904.0,0.01093631033336883,rank_biserial,two_sided,0.015078852126311569,True
group_snapshot,1,raw_waiting_band_eligible_member_count,316,3375,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.16568776371308025,mann_whitney_u,316,3375,2.1930379746835444,1.8702222222222222,2.0,2.0,621603.0,1.0389315078526276e-07,rank_biserial,two_sided,3.3765274005210396e-07,True
group_snapshot,2,raw_waiting_band_eligible_member_count,613,3078,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.15528133668713506,mann_whitney_u,613,3078,2.137030995106036,1.850227420402859,2.0,2.0,1089900.5,3.324382079906251e-11,rank_biserial,two_sided,8.643393407756252e-11,True
