dataset,feature_name,feature_id,block,history_definition,variable_type,unit,behavioural_reason,primary_association_test,effect_size,redundancy_check,predictive_ranking,selection_status,missing_handling,important_note,present_in_final_dataset,experiment_role,nonmissing,missing,missing_fraction,unique_nonmissing,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,level_counts_json
individual,current_x_m,P01,individual_motion,smoothed value at decision time,numeric,m,Position along the waiting boundary may reflect crossing opportunity,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,median imputation plus missing audit,Coordinates are location-specific and require subgroup checking,True,individual_core,28139,0,0.0,28054,2.251423127936316,2.1164754772901166,-6.332368,-1.77653558,-0.3588349999999998,0.7289315000000001,1.928971,3.340523,6.692200099999999,8.148923199999997,9.129186,
individual,distance_to_crossing_line_m,P02,individual_motion,positive distance from current y to y=0,numeric,m,Smaller distance means the pedestrian is nearer crossing onset,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,not expected missing,Equivalent to negative y inside the waiting band,True,individual_core,28139,0,0.0,28006,1.5870850844379687,0.8400891357686735,6.8e-05,0.03137056,0.16417700000000002,0.8916649999999999,1.667358,2.3072,2.8250358,2.963581,2.999994,
individual,current_vx_mps,P03,individual_motion,smoothed value at decision time,numeric,m/s,Lateral motion may indicate movement along the boundary rather than crossing,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,28139,0,0.0,27772,0.009377972351540566,0.630423224919805,-5.970541,-1.7934929,-1.0629667999999999,-0.1893435,0.002334,0.204164,1.1071201999999984,1.7875641999999987,5.900006,
individual,current_vy_mps,P04,individual_motion,smoothed value at decision time,numeric,m/s,Positive forward motion is direct evidence of approaching the road,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,28139,0,0.0,27957,-0.016620314545648388,1.4371454576718161,-16.241323,-4.2502558,-2.2505333,-0.417319,-0.0096,0.346638,2.142973799999999,4.63621416,18.098059,
individual,current_speed_mps,P05,individual_motion,smoothed value at decision time,numeric,m/s,Separates stationary waiting from active movement,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,May be redundant with vx and vy,True,individual_core,28139,0,0.0,27888,0.9998001296421337,1.209772244800643,0.000264,0.01248494,0.03637100000000001,0.186876,0.603345,1.370979,3.2877149999999995,5.813018759999994,18.09806,
individual,history_mean_vx_mps,P06,individual_motion,mean across previous 2 s,numeric,m/s,Stable lateral movement reduces frame-level jitter,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over available valid observations,Preferred over a single noisy frame when similarly predictive,True,individual_core,28139,0,0.0,28106,-0.02648707409630106,0.49029463316221455,-1.849011380952381,-1.3213954133333332,-0.9997159904761904,-0.16015457142857137,-0.0024275789473684,0.10077578571428569,0.9081118714285706,1.305019899047619,2.867145952380953,
individual,history_mean_vy_mps,P07,individual_motion,mean across previous 2 s,numeric,m/s,Stable forward movement is expected to indicate crossing preparation,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over available valid observations,Core behavioural candidate,True,individual_core,28139,0,0.0,28134,-0.03090898038721426,0.6679970234014642,-3.096119578947368,-1.717789735238095,-1.2604836476190477,-0.33509079880952375,-0.0026923333333333,0.2787760476190476,1.0730141428571425,1.6405840742857143,3.538176714285715,
individual,history_mean_speed_mps,P08,individual_motion,mean across previous 2 s,numeric,m/s,Represents general activity over the observation period,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,mean over available valid observations,May be redundant with mean vx and vy,True,individual_core,28139,0,0.0,28135,1.0073664780722766,0.7327275742045058,0.0044038571428571,0.030710888571428546,0.07646312380952373,0.36847149999999995,0.9394229047619048,1.4793190714285713,2.3021370380952373,3.1220693352380944,6.482147285714285,
individual,history_speed_std_mps,P09,individual_motion,standard deviation across previous 2 s,numeric,m/s,Stop-start behaviour may indicate hesitation or preparation,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed over available valid observations,Requires at least two valid observations,True,individual_core,28139,0,0.0,28139,0.7623655877209978,0.6643184121060932,0.0033038101834959,0.0198556737839148,0.0517507051232177,0.26776145160387477,0.6022608046379472,1.0496669610276812,2.071070628394649,2.9826976860682395,6.411451109823611,
individual,history_vy_slope_mps2,P10,individual_motion,linear slope of vy across previous 2 s,numeric,m/s^2,Increasing forward velocity may indicate developing intention,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed only with sufficient time points,More robust than raw frame acceleration,True,individual_core,28139,0,0.0,28139,0.0035782808070429074,0.762701271088583,-7.592374246753298,-2.3871273119124146,-1.2537023610388305,-0.24105451948060355,0.0059710519480522,0.2778240779220847,1.1958634519479732,2.207211406233765,8.367225538461742,
individual,history_x_displacement_m,P11,individual_motion,last x minus first x over previous 2 s,numeric,m,Measures net movement along the waiting boundary,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vx,True,individual_core,28139,0,0.0,28003,-0.05083998155584776,0.973973539052608,-3.938059,-2.63318012,-1.9773855,-0.3154985,-0.0046140000000001,0.20589150000000006,1.7912177999999985,2.6077437,5.81203,
individual,history_y_displacement_m,P12,individual_motion,last y minus first y over previous 2 s,numeric,m,Measures net movement toward or away from crossing onset,Mann-Whitney U,rank-biserial,Spearman,grouped permutation importance,candidate,computed from available endpoints,May correlate with mean vy,True,individual_core,28139,0,0.0,28056,-0.06406016731227122,1.335092731945137,-6.1159110000000005,-3.47225114,-2.5320192,-0.6663005,-0.0053679999999998,0.5614939999999999,2.1402250999999994,3.276971339999995,7.185728,
