feature_1,feature_2,spearman_rho,absolute_rho
history_observed_fraction,history_max_unobserved_gap_sec,-0.995750420670155,0.995750420670155
history_mean_vx_mps,history_x_displacement_m,0.9946257845938195,0.9946257845938195
dbscan_companion_low_speed_wait_mean_sec,dbscan_companion_low_speed_wait_max_sec,0.9937878926358756,0.9937878926358756
history_mean_vy_mps,history_y_displacement_m,0.99101562955449,0.99101562955449
dbscan_companion_wait_mean_sec,dbscan_companion_wait_max_sec,0.9870008415843771,0.9870008415843771
dbscan_history_mean_group_size,dbscan_history_mean_spread_m,0.9773024210947874,0.9773024210947874
dbscan_companion_wait_max_sec,dbscan_companion_low_speed_wait_max_sec,0.951102575175174,0.951102575175174
dbscan_companion_wait_max_sec,dbscan_companion_low_speed_wait_mean_sec,0.944350202991967,0.944350202991967
dbscan_companion_wait_mean_sec,dbscan_companion_low_speed_wait_mean_sec,0.9438348949433023,0.9438348949433023
dbscan_companion_wait_mean_sec,dbscan_companion_low_speed_wait_max_sec,0.93440218975983,0.93440218975983
dbscan_companion_low_speed_fraction,dbscan_companion_low_speed_wait_mean_sec,0.9331295637071416,0.9331295637071416
veh3_speed_mps,veh3_closing_speed_mps,0.9249961061062238,0.9249961061062238
history_mean_speed_mps,dbscan_history_mean_speed_mps,0.9140288426981767,0.9140288426981767
dbscan_companion_low_speed_fraction,dbscan_companion_low_speed_wait_max_sec,0.9070145874008244,0.9070145874008244
waiting_band_dwell_sec,waiting_low_speed_time_sec,0.8957825633836378,0.8957825633836378
veh2_speed_mps,veh2_closing_speed_mps,0.8951359179143321,0.8951359179143321
dbscan_companion_wait_mean_sec,dbscan_companion_low_speed_fraction,0.8882133469355037,0.8882133469355037
veh2_front_y_m,veh2_history_mean_front_y_m,0.8870334762964769,0.8870334762964769
history_mean_speed_mps,window_low_speed_fraction,-0.8851296294982135,0.8851296294982135
veh1_front_y_m,veh1_history_mean_front_y_m,0.8832487244431043,0.8832487244431043
veh3_closing_speed_mps,veh3_history_front_y_change_m,-0.8816848997762659,0.8816848997762659
history_mean_speed_mps,history_speed_std_mps,0.876061129670796,0.876061129670796
history_observed_fraction,history_interpolated_fraction,-0.8728483297927672,0.8728483297927672
veh3_front_y_m,veh3_history_mean_front_y_m,0.87060114455707,0.87060114455707
veh3_speed_mps,veh3_history_front_y_change_m,-0.8687367194698198,0.8687367194698198
veh1_speed_mps,veh1_closing_speed_mps,0.8686152057249158,0.8686152057249158
veh2_closing_speed_mps,veh2_history_front_y_change_m,-0.868032555333442,0.868032555333442
history_mean_vx_mps,dbscan_history_mean_vx_mps,0.8672644205034454,0.8672644205034454
history_x_displacement_m,dbscan_history_mean_vx_mps,0.8641397821557081,0.8641397821557081
dbscan_companion_wait_max_sec,dbscan_companion_low_speed_fraction,0.8605089481746815,0.8605089481746815
history_mean_vy_mps,dbscan_history_mean_vy_mps,0.8600814503930836,0.8600814503930836
history_interpolated_fraction,history_max_unobserved_gap_sec,0.8597494027446589,0.8597494027446589
window_low_speed_fraction,waiting_low_speed_time_sec,0.8584456698453282,0.8584456698453282
history_y_displacement_m,dbscan_history_mean_vy_mps,0.8539070084932412,0.8539070084932412
