,current_x_m,distance_to_crossing_line_m,current_vx_mps,current_vy_mps,current_speed_mps,history_mean_vx_mps,history_mean_vy_mps,history_mean_speed_mps,history_speed_std_mps,history_vy_slope_mps2,history_x_displacement_m,history_y_displacement_m,window_low_speed_fraction,waiting_band_dwell_sec,waiting_low_speed_time_sec,history_observed_fraction,history_interpolated_fraction,history_max_unobserved_gap_sec,active_vehicle_count,approaching_vehicle_count,stopped_vehicle_count,veh1_lateral_x_m,veh2_lateral_x_m,veh3_lateral_x_m,veh1_front_y_m,veh2_front_y_m,veh3_front_y_m,veh1_speed_mps,veh2_speed_mps,veh3_speed_mps,veh1_closing_speed_mps,veh2_closing_speed_mps,veh3_closing_speed_mps,veh1_ttc_capped_sec,veh2_ttc_capped_sec,veh3_ttc_capped_sec,veh1_history_mean_front_y_m,veh2_history_mean_front_y_m,veh3_history_mean_front_y_m,veh1_history_front_y_change_m,veh2_history_front_y_change_m,veh3_history_front_y_change_m,veh1_history_observed_fraction,veh2_history_observed_fraction,veh3_history_observed_fraction,dbscan_history_mean_group_size,dbscan_history_mean_spread_m,dbscan_history_mean_vx_mps,dbscan_history_mean_vy_mps,dbscan_history_mean_speed_mps,dbscan_companion_wait_mean_sec,dbscan_companion_wait_min_sec,dbscan_companion_wait_max_sec,dbscan_companion_low_speed_fraction,dbscan_companion_low_speed_wait_mean_sec,dbscan_companion_low_speed_wait_min_sec,dbscan_companion_low_speed_wait_max_sec,dbscan_companion_male_ratio_2s_mean,dbscan_companion_female_ratio_2s_mean,dbscan_companion_unknown_gender_ratio_2s_mean,dbscan_companion_young_ratio_2s_mean,dbscan_companion_adult_ratio_2s_mean,dbscan_companion_old_ratio_2s_mean,dbscan_companion_unknown_age_ratio_2s_mean
current_x_m,1.0,-0.006719145529851964,-0.013836573331686332,0.00020195291991420837,0.08819326500976596,-0.03296986013060639,-0.0213890086841621,0.09003412414528632,0.03487126674670495,0.006590670534151944,-0.03212580788453221,-0.022460262342270002,-0.11091998208306908,-0.04435799404154641,-0.07752805899012405,0.06625724539700104,-0.05371206736118548,-0.06458120703082824,-0.016341970720595476,-0.07570329154428669,0.07908894162218705,-0.11490115894099501,-0.08255390781281995,-0.05526860442576827,-0.08306842819413413,-0.07909608857300772,-0.03658518089866168,-0.1302012475175888,-0.1223732473056677,-0.09305702636226487,-0.11854916078692883,-0.11089316112403272,-0.08720936349618136,0.10179653779601334,0.08554157880292221,0.0378217019309924,-0.1179805235638059,-0.11804915029950828,-0.0729328736239313,0.11216218358238664,0.10661371549768577,0.08036928935813818,0.04607392258592098,0.02598096670872885,0.03156039055915334,0.02064855996406664,0.033865769489159404,-0.03708775062505647,-0.029125166226827412,0.12616847529018985,0.05266826988111374,-0.006854841482762665,0.05745107903751845,0.012559373969058922,0.042514587432068575,-0.01026197603232779,0.0489507006315432,0.08953885779234709,0.010304120084530027,-0.08237816335453568,0.06124931990034585,0.028646322916544623,-0.007227105553973258,-0.017163020812120997
distance_to_crossing_line_m,-0.006719145529851964,1.0,-0.0022393532574219747,-0.007332575417132794,-0.04250973335108816,-0.0028535029472574595,-0.07290510539999244,-0.06877977488615358,-0.07206580963566277,0.019014136318280844,-0.0015983648883381508,-0.07187686735234856,0.07135329624869127,0.019344350047712802,0.034464787857185035,-0.045928058923160604,0.06090734733448694,0.04377137313104908,0.057173528505708525,0.05096978284482907,0.08321456001840383,-0.05275162769413561,0.01894020531066332,0.06700554155501064,-0.042576764690088385,-0.050159937618000916,-0.0043002107341492315,-0.08332490129592508,-0.06010832621915363,-0.0023767959780659344,-0.09517063476943123,-0.06627675202959118,-0.014560425811623883,0.09185094329315467,0.04285172097045888,-0.03285526273732326,-0.08077445135561058,-0.07414657530385539,-0.009612823565888343,0.10075299246208066,0.06369043945796095,0.01054549012310367,0.06679723792309565,0.08287990234565967,0.07604797316778288,0.0654434051675636,0.04951242562416862,-0.014786817778052293,-0.07120661193470583,-0.06879472034350446,0.061018335552804046,0.015411819818873048,0.0676759224675401,0.04142875828970578,0.06897081490831855,0.014032585539402388,0.07378403165698828,0.016246928761403465,-0.014632223494007475,0.1269109560120366,0.023456768389118265,-0.030049281630981552,-0.04763048845138606,0.11548469138787458
current_vx_mps,-0.013836573331686332,-0.0022393532574219747,1.0,-0.1476948077957132,0.013510880735678129,0.6526051055137493,-0.08735363527559527,-0.0024500218421491067,-0.006324522144606959,-0.03292435790940232,0.6574697380069267,-0.08819051128428423,0.005201197190492296,0.054839278570812486,0.03169612451820722,-0.011002298005557312,-0.00018709249833640546,0.01244236609571597,-0.006582092986810961,-0.03390053432811402,0.009790207058929927,-0.0041653349718902685,-0.028054818743358564,-0.02080838071604326,-0.007765646808787666,-0.01190424189768973,-0.008636957325597409,-0.01367926350741662,-0.017919957607923767,-0.022006340620602034,-0.007833093308302931,-0.010612100509015376,-0.01886059250180323,0.010422379868951866,0.014112435629964875,0.015922471606024897,-0.008920164180668986,-0.021332482977846054,-0.0151766267788138,0.0013477640162128733,0.00976478923177155,0.018505535166115465,0.004418088765771779,-0.0015253034144720502,0.001468294650403048,-0.024178673374285108,-0.025489369226627857,0.6030362688476064,-0.07888757451930618,-8.311882686214164e-05,-0.019076329174873403,-0.01283474975569892,-0.02061779904255872,-0.013251502983580804,-0.016075577849149692,-0.008817425355880643,-0.01660911344354172,-0.010708926811834186,-0.00969161929404256,-0.01406032218088822,0.009693270648466314,-0.03167190431751053,-0.002710248890395076,-0.010611243841508647
current_vy_mps,0.00020195291991420837,-0.007332575417132794,-0.1476948077957132,1.0,-0.027443323561620343,-0.020927474037678383,0.46776821924144485,0.007170150699129358,0.005903200536294476,0.3044800303102811,-0.022381721596899443,0.4697980120009166,-0.0025164289776284593,0.03150346304979073,0.009060937375137468,-0.0638675317478495,0.05359557647566897,0.06290730531439248,-0.0038494339716947275,-0.01187579257977752,-0.0033935752406883193,0.02041887539065673,0.025096006238255787,0.016878819882377043,0.0091305654211297,0.0018634877992256072,0.004216976678634818,0.004549181059406502,0.002015470290255366,0.0008297075812149537,-0.00473851964645422,-0.00374726737659804,-0.002837801382085478,0.006256433474116943,0.008685257480703862,0.010338363680153659,0.009930569514400047,0.00345368158815553,0.004761058422568382,0.004755732749814618,0.002539213339027765,-0.0009008896270566505,-0.0033506953494923776,-0.008758774313692026,-0.0146633311648846,-0.008525818158884441,-0.015239646947326841,-0.017852280119231335,0.43203472952191035,0.0015009637161086638,-0.021367700753505917,-0.020140162754462818,-0.021203882526442556,-0.023849088714661456,-0.018621803007355803,-0.018790213144924284,-0.01783362554686558,-0.022993818086991993,-0.012736788485818766,0.022186177858720714,-0.027307320964948426,-0.020730930575511473,0.003582733371639337,0.017693416824701932
current_speed_mps,0.08819326500976596,-0.04250973335108816,0.013510880735678129,-0.027443323561620343,1.0,-0.011858510045620954,-0.08242324671422586,0.6789835159136746,0.5573563406306793,-0.005303554026420991,-0.009878416770783325,-0.08387243987036629,-0.687652558030055,-0.5056923407540215,-0.6411638836335489,-0.20554207491590548,0.20132469567150793,0.20302516454013528,-0.0035006582291618026,-0.09477484577045088,0.04284354590982794,-0.04657917378422109,-0.10905774611368414,-0.09590415552941434,-0.044224329489185504,-0.014862222301186183,-0.02161461368678261,-0.049870372654672056,-0.092052061960937,-0.11943951479293963,-0.02552510182607224,-0.06598607628656354,-0.09814160250288555,9.21510419780443e-05,0.059219245379832655,0.0861782869455111,-0.04061942020856291,-0.037961025973850544,-0.0559419985636306,0.020301797999501606,0.06383396737974395,0.09372417860320409,0.018266697506995937,0.013842999606434108,0.03362428565512805,-0.014434688711712407,0.001968182417539847,-0.010700864512154152,-0.08135447153549392,0.6316706484736392,-0.15133230876948392,-0.10180436395966486,-0.1503971977946843,-0.15688290757615447,-0.20752438979633409,-0.16759093269700884,-0.20270333148935815,0.008794667629547236,0.050907542274586805,-0.0311222702280062,0.04895857216288432,0.01038620748799597,0.06913442767883234,-0.03596970400390706
history_mean_vx_mps,-0.03296986013060639,-0.0028535029472574595,0.6526051055137493,-0.020927474037678383,-0.011858510045620954,1.0,-0.10545084494771877,-0.05497701266943368,-0.04504350459384119,0.017648093638959944,0.9946257845938195,-0.10563747949791977,0.06166427444998481,0.09867405451491494,0.07976232337817107,-0.014690212910509851,-0.002775322562372712,0.01535204483463957,0.02318943155901654,0.0011695746044364781,0.013328557838013125,0.0025219906590599962,-0.007169676768190024,-0.002949615183126612,0.0018035667073784266,-0.004078966522102989,0.0003343412313582202,-0.0046162984024225966,-0.0074725770618651825,-0.011788336525576457,-0.0013053659528846006,-0.008072541791502902,-0.0089887379620982,0.006189609498009669,0.009843365204016966,0.007817724701408244,-0.0014497761239161365,-0.011350636709620023,-0.005628536459764172,-0.005810325192690533,0.002882389773311139,0.014641745818125022,0.008069033735937193,-0.0021519983634414636,0.004868600326355452,-0.03829577556802707,-0.04225716681398179,0.8672644205034454,-0.08238360546828633,-0.051179824814583656,-0.02990227069734676,-0.02396341452907055,-0.03187351449619375,-0.018289716818899824,-0.018290084698586225,-0.004372596771257578,-0.019502607573103105,-0.028371117901939594,-0.028210239311331452,-0.01858046099291108,-0.020754772213476474,-0.02471097511705291,-0.025209828537134688,-0.026840496839298608
history_mean_vy_mps,-0.0213890086841621,-0.07290510539999244,-0.08735363527559527,0.46776821924144485,-0.08242324671422586,-0.10545084494771877,1.0,0.009507467432767753,0.05177590967132119,-0.013735098880629973,-0.10753300463211865,0.99101562955449,0.03168837942025011,0.04092643055719008,0.044251959072012695,-0.11085702073475028,0.08631786865164275,0.10961197468085443,0.00689558400404811,0.023647303526350374,-0.01777341402020325,0.022517092729572967,0.030698783080232897,0.020032939812569282,0.02384927387809732,0.00903779231017896,0.010065493902698298,0.03693808211507774,0.030786519998922242,0.02766814089614457,0.032424277029062476,0.023894218730735828,0.025136984604930676,-0.032482047147129815,-0.029748580453514025,-0.02034144102606332,0.037208165661312,0.022967875194762788,0.024488561057993765,-0.029486091111741546,-0.031184829757008547,-0.03144119946284546,-0.006666930076851001,0.00016912954839434755,-0.006048259757206012,0.012155421718874961,0.0025480246773502205,-0.08216993459013222,0.8600814503930836,-0.006496916427844248,-0.005316383229600045,-0.009575508609930705,-0.0046227014236449706,-0.006186744961279771,0.0036534201328365613,-0.00680008315960145,0.004228485497948879,-0.014780210311028014,0.0005849512747028486,0.03983665101491859,-0.03541865526681922,-0.010468839788125246,0.01349268810505236,0.0369760402104974
history_mean_speed_mps,0.09003412414528632,-0.06877977488615358,-0.0024500218421491067,0.007170150699129358,0.6789835159136746,-0.05497701266943368,0.009507467432767753,1.0,0.876061129670796,0.08419408653636512,-0.05431276224073826,0.014157438655549305,-0.8851296294982135,-0.6553594910176316,-0.7938869727296226,-0.3532880586271663,0.3702944336997106,0.3467198107423038,-0.024930033173182223,-0.09125766915468889,0.013697352249983991,-0.061703232171049296,-0.13254743877084346,-0.11187088113122559,-0.05123826403918343,-0.019988676305219055,-0.016297404191282158,-0.026996329638761963,-0.06740464669673785,-0.09384117618027335,-0.005019199436607867,-0.0407375499359979,-0.06776863164607173,-0.03635037751954507,0.025302396298795552,0.060994641053468135,-0.030854346657405274,-0.024608902369072202,-0.03734125604108366,-0.004407822047909563,0.03088621662173768,0.06595177597198792,0.019245239165117296,0.01483177313969217,0.03344973547807241,-0.003929332997686851,0.015014569314202387,-0.035627895940620984,-0.025274043296555745,0.9140288426981767,-0.1675417412521314,-0.10375028228824491,-0.16861708190282695,-0.1646132073937218,-0.23406403696419378,-0.18323172857710313,-0.22913458061790506,0.020951015088748852,0.062651749134426,-0.028065505206304454,0.0707340556375383,0.01811731609949604,0.09038705368780131,-0.031604425696639536
history_speed_std_mps,0.03487126674670495,-0.07206580963566277,-0.006324522144606959,0.005903200536294476,0.5573563406306793,-0.04504350459384119,0.05177590967132119,0.876061129670796,1.0,0.03622539175641841,-0.0445656103557251,0.05427488168660296,-0.638439495655827,-0.5351764466912561,-0.5832946870077723,-0.3841622848502823,0.406262682328465,0.3774985432841467,-0.022494838706086158,0.009360461346761505,-0.06186225929936855,-0.038495930514200374,-0.08167268225109721,-0.060230709553183846,-0.023210099213617733,0.006648433940564673,0.010627479913494145,0.0660803642898386,0.036639959946197266,0.017435879436510586,0.07525654860873839,0.05275216971437453,0.036386046287280836,-0.13002378139733858,-0.07980561620297316,-0.03924237663525894,0.03022105083990144,0.04177012104141294,0.037193443128417464,-0.08299752725007638,-0.06415809022540439,-0.034870601141832304,0.017637483577953358,0.01651854604888243,0.02501997710473795,0.09157341814618726,0.10546014858918755,-0.02395733607596857,0.014114477420357893,0.7849881345552986,-0.08119005683926706,-0.053622913043005004,-0.07838497209633344,-0.07100399472802343,-0.12834398286054688,-0.1251085269309651,-0.12237814599515537,0.08267634870435502,0.09199201830909293,0.0449666912874833,0.08390966063262849,0.07444187507070014,0.10393304532075068,0.050643966812452354
history_vy_slope_mps2,0.006590670534151944,0.019014136318280844,-0.03292435790940232,0.3044800303102811,-0.005303554026420991,0.017648093638959944,-0.013735098880629973,0.08419408653636512,0.03622539175641841,1.0,0.01287940711207282,0.018536280952398215,-0.07836161988584518,-0.01806851357700957,-0.04587171862662696,-0.03587143558477716,0.06215463379403702,0.03240355507531357,-0.02932008386299234,-0.04454952758501269,0.0028691025255084593,0.001369985160200032,-0.006122279117269099,-0.008642891727327054,-0.014429007383680949,-0.005353688498825169,-0.012850157929404095,-0.013445164233188379,-0.013455827486029304,-0.011024525950818164,-0.022032620435681424,-0.01674378314311702,-0.010645810667644,0.01999005246697136,0.025222385556937968,0.015441649202642654,-0.015113423102520646,-0.012894174791929022,-0.010413282266482266,0.016849024813557798,0.01704190185959316,0.00922830936970367,-0.004583333346587253,-0.014163209916194745,-0.009992620988804006,-0.0035421584759324576,-0.005717447467874571,0.02368867178281774,-0.0115777640547021,0.08044276059504185,-0.00904228417543307,-0.002084357147973848,-0.010950355439366967,-0.006379334740632716,-0.013201319156039651,-0.0003774265219928527,-0.01356902965662051,0.0034408784413202387,-0.0019041912532885487,0.004211513254911847,0.017645837267003295,-0.015924437479778276,0.007359637621050147,0.011893058796818063
