dataset,horizon_sec,feature_name,positive_rows,negative_rows,feature_id,block,history_definition,variable_type,unit,behavioural_reason,primary_association_test,effect_size,redundancy_check,predictive_ranking,selection_status,missing_handling,important_note,present_in_final_dataset,experiment_role,test,n_positive_nonmissing,n_negative_nonmissing,positive_mean,negative_mean,positive_median,negative_median,statistic,p_value,effect_size_name,test_detail,q_value_bh,fdr_significant_0p05
individual,1,current_x_m,1745,26394,P01,individual_motion,smoothed value at decision time,numeric,m,Position along the waiting boundary may reflect crossing opportunity,Mann-Whitney U,0.16397820291274856,Spearman,grouped permutation importance,candidate,median imputation plus missing audit,Coordinates are location-specific and require subgroup checking,True,individual_core,mann_whitney_u,1745,26394,2.6829185111747846,2.222895453322725,2.389336,1.871955,26804980.5,1.4743581930215488e-30,rank_biserial,two_sided,6.306976714592181e-30,True
individual,2,current_x_m,3801,24338,P01,individual_motion,smoothed value at decision time,numeric,m,Position along the waiting boundary may reflect crossing opportunity,Mann-Whitney U,0.15364365904548394,Spearman,grouped permutation importance,candidate,median imputation plus missing audit,Coordinates are location-specific and require subgroup checking,True,individual_core,mann_whitney_u,3801,24338,2.6317369707971587,2.1920274127290655,2.285288,1.8255565,53361059.5,1.4509968026252065e-52,rank_biserial,two_sided,5.0784888091882225e-52,True
individual,3,current_x_m,5167,22972,P01,individual_motion,smoothed value at decision time,numeric,m,Position along the waiting boundary may reflect crossing opportunity,Mann-Whitney U,0.12480752141911311,Spearman,grouped permutation importance,candidate,median imputation plus missing audit,Coordinates are location-specific and require subgroup checking,True,individual_core,mann_whitney_u,5167,22972,2.5389712955293207,2.1867460696935397,2.192762,1.8240645,66755259.0,8.908421675135522e-45,rank_biserial,two_sided,2.638263342251674e-44,True
individual,1,distance_to_crossing_line_m,1745,26394,P02,individual_motion,positive distance from current y to y=0,numeric,m,Smaller distance means the pedestrian is nearer crossing onset,Mann-Whitney U,-0.5079342726368522,Spearman,grouped permutation importance,candidate,not expected missing,Equivalent to negative y inside the waiting band,True,individual_core,mann_whitney_u,1745,26394,0.8965979151862463,1.6327356152534667,0.861246,1.7331555,11331666.0,1.8412332038747716e-277,rank_biserial,two_sided,1.4177495669835741e-275,True
individual,2,distance_to_crossing_line_m,3801,24338,P02,individual_motion,positive distance from current y to y=0,numeric,m,Smaller distance means the pedestrian is nearer crossing onset,Mann-Whitney U,-0.3735985891408442,Spearman,grouped permutation importance,candidate,not expected missing,Equivalent to negative y inside the waiting band,True,individual_core,mann_whitney_u,3801,24338,1.1244747227045513,1.6593335019311364,1.061434,1.7686545,28973802.0,2.6261903351795336e-301,rank_biserial,two_sided,2.2468517312091566e-300,True
individual,3,distance_to_crossing_line_m,5167,22972,P02,individual_motion,positive distance from current y to y=0,numeric,m,Smaller distance means the pedestrian is nearer crossing onset,Mann-Whitney U,-0.29048239943808196,Spearman,grouped permutation importance,candidate,not expected missing,Equivalent to negative y inside the waiting band,True,individual_core,mann_whitney_u,5167,22972,1.2493049303270758,1.6630606223228277,1.170839,1.7757345,42108565.5,3.356937057217459e-234,rank_biserial,two_sided,2.3498559400522217e-233,True
individual,1,current_vx_mps,1745,26394,P03,individual_motion,smoothed value at decision time,numeric,m/s,Lateral motion may indicate movement along the boundary rather than crossing,Mann-Whitney U,-0.0689800777419024,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,mann_whitney_u,1745,26394,-0.042124822349570205,0.012783002917329696,-0.056518,0.003263,21440239.0,1.3407284426708609e-06,rank_biserial,two_sided,2.0647218017131256e-06,True
individual,2,current_vx_mps,3801,24338,P03,individual_motion,smoothed value at decision time,numeric,m/s,Lateral motion may indicate movement along the boundary rather than crossing,Mann-Whitney U,-0.01755118527289823,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,mann_whitney_u,3801,24338,-0.027295342804525106,0.01510544670885036,-6.8e-05,0.0023829999999999997,45442550.0,0.0813344875250671,rank_biserial,two_sided,0.09209934616809068,False
individual,3,current_vx_mps,5167,22972,P03,individual_motion,smoothed value at decision time,numeric,m/s,Lateral motion may indicate movement along the boundary rather than crossing,Mann-Whitney U,0.0017592541450568433,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,mann_whitney_u,5167,22972,-0.02114367834333268,0.01624308506007314,0.016807,0.001773,59452570.5,0.8431240441996797,rank_biserial,two_sided,0.8523893990344678,False
individual,1,current_vy_mps,1745,26394,P04,individual_motion,smoothed value at decision time,numeric,m/s,Positive forward motion is direct evidence of approaching the road,Mann-Whitney U,0.47528931751225034,Spearman,grouped permutation importance,candidate,median imputation plus missing indicator,Current value competes with 2 s mean,True,individual_core,mann_whitney_u,1745,26394,0.9092266469914041,-0.07783130749412746,0.969925,-0.022026,33974091.0,3.2892593143155225e-243,rank_biserial,two_sided,8.442432240076508e-242,True
