feature_id,feature_name,block,variable_type,unit,history_definition,behavioural_reason,h1_test,h1_effect_size,h1_p_value,h1_q_value_bh,h1_fdr_significant,h2_test,h2_effect_size,h2_p_value,h2_q_value_bh,h2_fdr_significant,h3_test,h3_effect_size,h3_p_value,h3_q_value_bh,h3_fdr_significant,redundancy_measure,strongest_same_type_partner,strongest_association,absolute_strongest_association,threshold_flag_ge_0p80,post_redundancy_role,entered_25_feature_rf_ranking,decision_reason
P01,current_x_m,individual_motion,numeric,m,smoothed value at decision time,Position along the waiting boundary may reflect crossing opportunity,mann_whitney_u,0.163978,1.47436e-30,6.30698e-30,True,mann_whitney_u,0.153644,1.451e-52,5.07849e-52,True,mann_whitney_u,0.124808,8.90842e-45,2.63826e-44,True,Spearman rho,veh1_speed_mps,-0.130201,0.130201,False,analysis_control_not_primary_predictor,False,"Location-dependent coordinate retained as an analysis control, not a portable primary predictor."
P02,distance_to_crossing_line_m,individual_motion,numeric,m,positive distance from current y to y=0,Smaller distance means the pedestrian is nearer crossing onset,mann_whitney_u,-0.507934,1.84123e-277,1.41775e-275,True,mann_whitney_u,-0.373599,2.62619e-301,2.24685e-300,True,mann_whitney_u,-0.290482,3.35694e-234,2.34986e-233,True,Spearman rho,veh1_history_front_y_change_m,0.100753,0.100753,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P03,current_vx_mps,individual_motion,numeric,m/s,smoothed value at decision time,Lateral motion may indicate movement along the boundary rather than crossing,mann_whitney_u,-0.0689801,1.34073e-06,2.06472e-06,True,mann_whitney_u,-0.0175512,0.0813345,0.0920993,False,mann_whitney_u,0.00175925,0.843124,0.852389,False,Spearman rho,history_x_displacement_m,0.65747,0.65747,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P04,current_vy_mps,individual_motion,numeric,m/s,smoothed value at decision time,Positive forward motion is direct evidence of approaching the road,mann_whitney_u,0.475289,3.28926e-243,8.44243e-242,True,mann_whitney_u,0.454085,0,0,True,mann_whitney_u,0.440046,0,0,True,Spearman rho,history_y_displacement_m,0.469798,0.469798,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P05,current_speed_mps,individual_motion,numeric,m/s,smoothed value at decision time,Separates stationary waiting from active movement,mann_whitney_u,0.504423,1.1431e-273,4.40095e-272,True,mann_whitney_u,0.426153,0,0,True,mann_whitney_u,0.396004,0,0,True,Spearman rho,window_low_speed_fraction,-0.687653,0.687653,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P06,history_mean_vx_mps,individual_motion,numeric,m/s,mean across previous 2 s,Stable lateral movement reduces frame-level jitter,mann_whitney_u,-0.0816008,1.07793e-08,1.98051e-08,True,mann_whitney_u,-0.016376,0.103888,0.112667,False,mann_whitney_u,0.0095207,0.284174,0.317121,False,Spearman rho,history_x_displacement_m,0.994626,0.994626,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P07,history_mean_vy_mps,individual_motion,numeric,m/s,mean across previous 2 s,Stable forward movement is expected to indicate crossing preparation,mann_whitney_u,0.430236,1.14676e-199,1.26144e-198,True,mann_whitney_u,0.539838,0,0,True,mann_whitney_u,0.564054,0,0,True,Spearman rho,history_y_displacement_m,0.991016,0.991016,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P08,history_mean_speed_mps,individual_motion,numeric,m/s,mean across previous 2 s,Represents general activity over the observation period,mann_whitney_u,0.468583,1.87224e-236,3.60406e-235,True,mann_whitney_u,0.424501,0,0,True,mann_whitney_u,0.394925,0,0,True,Spearman rho,window_low_speed_fraction,-0.88513,0.88513,True,removed_from_primary_after_redundancy_review,False,Removed from the primary pool after motion-summary redundancy review; directional mean velocities and current speed were retained.
P09,history_speed_std_mps,individual_motion,numeric,m/s,standard deviation across previous 2 s,Stop-start behaviour may indicate hesitation or preparation,mann_whitney_u,0.382435,3.38307e-158,2.36815e-157,True,mann_whitney_u,0.348143,6.25235e-262,4.37664e-261,True,mann_whitney_u,0.337,0,0,True,Spearman rho,history_mean_speed_mps,0.876061,0.876061,True,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
P10,history_vy_slope_mps2,individual_motion,numeric,m/s^2,linear slope of vy across previous 2 s,Increasing forward velocity may indicate developing intention,mann_whitney_u,0.0215334,0.131324,0.144457,False,mann_whitney_u,0.0249438,0.0132437,0.0161867,True,mann_whitney_u,0.024802,0.00527082,0.00676422,True,Spearman rho,current_vy_mps,0.30448,0.30448,False,primary_rankable,True,Retained as a behaviourally interpretable candidate after the |Spearman rho| < 0.80 pool audit; entered training-only RF permutation ranking.
