dataset,feature_1,feature_2,spearman_rho,absolute_rho,pairwise_nonmissing_n,screening_zone,automatic_deletion,review_note
individual,history_observed_fraction,history_max_unobserved_gap_sec,-0.995750420670155,0.995750420670155,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_vx_mps,history_x_displacement_m,0.9946257845938195,0.9946257845938195,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_vy_mps,history_y_displacement_m,0.99101562955449,0.99101562955449,28139,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,veh3_speed_mps,veh3_closing_speed_mps,0.9249961061062238,0.9249961061062238,23455,hard_same_concept_review_ge_0p90,False,Same-concept status and representative require explicit review.
individual,waiting_band_dwell_sec,waiting_low_speed_time_sec,0.8957825633836378,0.8957825633836378,28139,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,veh2_speed_mps,veh2_closing_speed_mps,0.8951359179143321,0.8951359179143321,25003,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,veh2_front_y_m,veh2_history_mean_front_y_m,0.8870334762964769,0.8870334762964769,25253,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_speed_mps,window_low_speed_fraction,-0.8851296294982135,0.8851296294982135,28139,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,veh1_front_y_m,veh1_history_mean_front_y_m,0.8832487244431043,0.8832487244431043,26792,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,veh3_closing_speed_mps,veh3_history_front_y_change_m,-0.8816848997762659,0.8816848997762659,23634,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,history_mean_speed_mps,history_speed_std_mps,0.876061129670796,0.876061129670796,28139,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,history_observed_fraction,history_interpolated_fraction,-0.8728483297927672,0.8728483297927672,28139,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,veh3_front_y_m,veh3_history_mean_front_y_m,0.87060114455707,0.87060114455707,23634,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
individual,veh3_speed_mps,veh3_history_front_y_change_m,-0.8687367194698198,0.8687367194698198,23455,manual_review_0p80_to_0p90,False,Same-concept status and representative require explicit review.
