feature_1,feature_2,spearman_rho,absolute_rho,pairwise_nonmissing_n,flag_abs_rho_ge_0p80
neighbor_low_speed_wait_mean_sec,neighbor_low_speed_wait_max_sec,0.9937878926358755,0.9937878926358755,28139,True
neighbor_wait_mean_sec,neighbor_wait_max_sec,0.9870008630129392,0.9870008630129392,28139,True
neighbor_wait_max_sec,neighbor_low_speed_wait_max_sec,0.9511025751751742,0.9511025751751742,28139,True
neighbor_wait_max_sec,neighbor_low_speed_wait_mean_sec,0.944350202991967,0.944350202991967,28139,True
neighbor_wait_mean_sec,neighbor_low_speed_wait_mean_sec,0.9438349075013492,0.9438349075013492,28139,True
neighbor_wait_mean_sec,neighbor_low_speed_wait_max_sec,0.9344022150692175,0.9344022150692175,28139,True
neighbor_low_speed_fraction,neighbor_low_speed_wait_mean_sec,0.9331295637071415,0.9331295637071415,28139,True
neighbor_low_speed_fraction,neighbor_low_speed_wait_max_sec,0.9070145874008245,0.9070145874008245,28139,True
history_mean_neighbor_count,history_neighbor_present_fraction,0.8997037133498429,0.8997037133498429,28139,True
neighbor_wait_mean_sec,neighbor_low_speed_fraction,0.8882133445218973,0.8882133445218973,28139,True
neighbor_wait_max_sec,neighbor_low_speed_fraction,0.8605089481746816,0.8605089481746816,28139,True
current_neighbor_count,history_mean_neighbor_count,0.8480846813433033,0.8480846813433033,28139,True
current_neighbor_count,neighbor_wait_max_sec,0.826383709790518,0.826383709790518,28139,True
neighbor_wait_min_sec,neighbor_low_speed_wait_min_sec,0.820152865411463,0.820152865411463,28139,True
neighbor_low_speed_fraction,neighbor_low_speed_wait_min_sec,0.8001667741922988,0.8001667741922988,28139,True
current_neighbor_count,history_neighbor_present_fraction,0.7871136053735471,0.7871136053735471,28139,False
neighbor_wait_mean_sec,neighbor_wait_min_sec,0.784879036677027,0.784879036677027,28139,False
neighbor_wait_min_sec,neighbor_low_speed_fraction,0.7813788681039666,0.7813788681039666,28139,False
current_neighbor_count,neighbor_wait_mean_sec,0.7739860676079678,0.7739860676079678,28139,False
history_neighbor_present_fraction,neighbor_wait_max_sec,0.7723270535741688,0.7723270535741688,28139,False
current_neighbor_count,neighbor_low_speed_wait_max_sec,0.769992088096341,0.769992088096341,28139,False
history_neighbor_present_fraction,neighbor_wait_mean_sec,0.7599312984303724,0.7599312984303724,28139,False
current_neighbor_count,neighbor_low_speed_wait_mean_sec,0.7352071530889931,0.7352071530889931,28139,False
history_neighbor_present_fraction,neighbor_low_speed_wait_max_sec,0.7327951051233808,0.7327951051233808,28139,False
history_neighbor_present_fraction,neighbor_low_speed_wait_mean_sec,0.7265995910334136,0.7265995910334136,28139,False
history_mean_neighbor_count,neighbor_wait_max_sec,0.7232990382023458,0.7232990382023458,28139,False
neighbor_wait_min_sec,neighbor_wait_max_sec,0.7017598221499999,0.7017598221499999,28139,False
neighbor_wait_min_sec,neighbor_low_speed_wait_mean_sec,0.6900343909378377,0.6900343909378377,28139,False
history_mean_neighbor_count,neighbor_low_speed_wait_max_sec,0.6882120808622708,0.6882120808622708,28139,False
history_neighbor_present_fraction,neighbor_low_speed_fraction,0.6878673603782126,0.6878673603782126,28139,False
history_mean_neighbor_count,neighbor_wait_mean_sec,0.679815508876641,0.679815508876641,28139,False
current_neighbor_count,neighbor_low_speed_fraction,0.675318614581304,0.675318614581304,28139,False
neighbor_low_speed_wait_mean_sec,neighbor_low_speed_wait_min_sec,0.6660056467833839,0.6660056467833839,28139,False
history_mean_neighbor_count,neighbor_low_speed_wait_mean_sec,0.659920308165796,0.659920308165796,28139,False
neighbor_wait_mean_sec,neighbor_low_speed_wait_min_sec,0.6475580921887603,0.6475580921887603,28139,False
neighbor_wait_min_sec,neighbor_low_speed_wait_max_sec,0.6370019246604528,0.6370019246604528,28139,False
history_mean_neighbor_count,neighbor_low_speed_fraction,0.6036049730710018,0.6036049730710018,28139,False
neighbor_low_speed_wait_min_sec,neighbor_low_speed_wait_max_sec,0.6002326395586435,0.6002326395586435,28139,False
neighbor_wait_max_sec,neighbor_low_speed_wait_min_sec,0.5649701833117312,0.5649701833117312,28139,False
history_neighbor_present_fraction,neighbor_wait_min_sec,0.533510146329474,0.533510146329474,28139,False
history_neighbor_present_fraction,neighbor_low_speed_wait_min_sec,0.424488840047044,0.424488840047044,28139,False
current_neighbor_count,neighbor_wait_min_sec,0.4207349719085288,0.4207349719085288,28139,False
history_mean_neighbor_count,neighbor_wait_min_sec,0.36786940518344646,0.36786940518344646,28139,False
current_neighbor_count,neighbor_low_speed_wait_min_sec,0.2554404347133504,0.2554404347133504,28139,False
history_mean_neighbor_count,neighbor_low_speed_wait_min_sec,0.25389896837702847,0.25389896837702847,28139,False
history_neighbor_mean_speed_mps,neighbor_low_speed_wait_mean_sec,-0.24386509146001523,0.24386509146001523,21963,False
history_neighbor_mean_speed_mps,neighbor_low_speed_wait_min_sec,-0.23578851070237417,0.23578851070237417,21963,False
history_neighbor_mean_speed_mps,neighbor_low_speed_wait_max_sec,-0.2222069008953435,0.2222069008953435,21963,False
history_mean_neighbor_count,history_neighbor_mean_speed_mps,0.1716964385894655,0.1716964385894655,21963,False
